rep,id,g,d,P0
2,38,35.7963,0.349188,97.0326
3,38,35.5636,0.338143,97.5207
4,38,43.0459,0.425636,108.15
1,39,48.132,0.426264,50.42
2,39,56.5934,0.54619,46.8493
3,39,62.382,0.56826,53.1599
4,39,55.653,0.492214,54.2189
1,40,31.4015,0.336592,43.0384
2,40,29.8112,0.348886,60.3203
3,40,26.0682,0.305992,60.365
4,40,23.1351,0.255899,56.0632
1,41,54.1383,0.459396,111.639
2,41,74.7989,0.657437,101.881
3,41,50.3053,0.490071,124.015
4,41,36.0856,0.348613,95.7955
1,42,37.3824,0.529174,15.4889
2,42,26.3087,0.372527,20.9155
3,42,35.8205,0.685685,19.791
4,42,21.1851,0.324397,18.2001
1,43,37.2172,0.469735,72.9742
2,43,31.1788,0.353502,75.2327
3,43,27.2124,0.33987,78.2198
4,43,35.9135,0.426758,64.8625
1,44,25.4901,0.415956,41.352
2,44,31.0072,0.592429,43.458
3,44,32.8303,0.590322,45.5749
4,44,25.1091,0.46313,50.1066
1,45,28.9938,0.299847,36.1755
2,45,33.7012,0.334314,26.9735
3,45,30.9567,0.36203,30.7751
4,45,27.0976,0.258846,25.381
1,46,37.8731,0.620085,54.8167
2,46,35.6806,0.625332,56.9877
3,46,24.5441,0.379367,59.4923
4,46,20.8892,0.354615,56.3916
1,47,29.4738,0.502219,36.9899
2,47,22.9941,0.373101,20.7886
3,47,32.3354,0.536209,28.111
4,47,23.2698,0.339804,19.0052
1,48,43.5357,0.436235,31.4619
2,48,29.2758,0.254926,29.7494
3,48,33.4767,0.314142,31.5385
4,48,40.3663,0.371086,30.4648
1,49,35.051,0.41182,51.8335
2,49,33.3464,0.45698,40.3805
3,49,38.1849,0.50846,41.962
4,49,26.6144,0.272575,41.8301
1,50,53.5599,0.530564,41.8918
2,50,51.0169,0.457258,40.488
3,50,44.529,0.420571,51.0352
4,50,38.8789,0.394132,55.398
1,51,36.6531,0.463331,50.3843
2,51,27.7787,0.405279,62.4501
3,51,34.3395,0.387282,49.613
4,51,31.323,0.453898,51.9822
1,52,31.2546,0.477516,42.4037
2,52,24.3028,0.409351,53.8566
3,52,42.7002,0.615997,46.2907
4,52,37.0301,0.570353,49.2406
1,53,40.2685,0.332591,95.2682
2,53,35.3227,0.307919,90.8588
3,53,33.5798,0.36117,84.2363
4,53,38.5447,0.321886,92.554
1,54,44.7225,0.452017,26.6782
2,54,33.1305,0.311027,29.0923
3,54,38.3123,0.417158,31.9054
4,54,39.8963,0.385371,37.1652
1,55,27.6095,0.3417,62.3531
2,55,30.5537,0.349543,57.0189
3,55,36.7526,0.397792,77.0955
4,55,36.8118,0.488967,57.0705
1,56,37.3776,0.359765,85.3936
2,56,39.8431,0.406159,100.511
3,56,43.5418,0.413506,90.2744
4,56,49.939,0.468088,92.0642
1,57,41.9914,0.398724,18.9289
2,57,30.4675,0.308564,37.5578
3,57,39.1491,0.407063,25.6574
4,57,39.5624,0.379658,24.875
1,58,27.8843,0.318026,52.5883
2,58,53.7717,0.754826,61.2559
3,58,39.5182,0.545137,46.0341
4,58,34.7973,0.44027,64.2731
1,59,56.4192,0.580938,13.258
2,59,32.1521,0.305642,22.9446
3,59,41.5986,0.423436,24.2265
4,59,36.9786,0.398173,30.101
1,60,17.2905,0.794596,36.2937
2,60,24.5664,0.643218,20.5345
3,60,16.2457,0.57066,36.638
4,60,18.973,0.660534,27.775
1,61,34.2416,0.386928,18.1695
2,61,31.2624,0.237344,15.0904
3,61,36.2498,0.357094,7.63916
4,61,28.9791,0.264459,23.5291
1,62,23.8779,0.279563,25.5983
2,62,28.0598,0.328267,8.82189
3,62,32.6177,0.514624,16.7932
4,62,30.5495,0.384403,15.918
1,63,23.3582,0.467297,49.2437
2,63,17.0149,0.319276,45.6532
3,63,24.5588,0.485308,49.6699
4,63,27.8083,0.45066,42.2658
1,64,34.2189,0.755274,29.3281
2,64,22.2055,0.466627,30.6627
3,64,27.0229,0.591962,26.9412
4,64,20.619,0.439114,23.3004
1,65,25.1131,0.64349,42.6588
2,65,41.8869,0.726404,58.0315
3,65,22.5738,0.461579,53.6775
4,65,22.7974,0.507809,57.3303
1,66,35.3553,0.369819,57.3905
2,66,40.8615,0.49484,52.705
3,66,37.0088,0.449263,66.156
4,66,31.0209,0.480165,64.0637
1,67,35.8119,0.378168,75.7506
2,67,40.7224,0.43288,84.319
3,67,33.5365,0.37194,84.2989
4,67,31.8661,0.355358,93.5056
1,68,23.3611,0.579343,41.4173
2,68,28.4803,0.582229,20.8065
3,68,20.7892,0.447343,32.1521
4,68,24.7817,0.483777,21.8817
1,69,30.3879,0.341081,76.9154
2,69,47.3012,0.474861,67.7897
3,69,33.3932,0.373888,78.9363
4,69,31.6796,0.285187,73.1001
1,70,29.4418,0.451316,38.9436
2,70,33.4276,0.511953,36.8512
3,70,33.4104,0.464172,37.7854
4,70,38.3324,0.625758,39.3561
1,71,31.2437,0.343253,42.7135
2,71,41.0091,0.415331,55.8475
3,71,30.0366,0.315072,53.2182
4,71,25.7906,0.21672,53.802
1,72,27.127,0.413141,49.8207
2,72,27.8266,0.456093,41.3832
3,72,35.6652,0.560261,39.3003
4,72,27.6646,0.520251,38.1998
1,73,39.3821,0.610763,53.3666
2,73,31.0683,0.517609,35.6611
3,73,20.5504,0.360691,45.9642
