rep,id,eta_V0,eta_delta
1,1,0.07655953058388,-0.0324994601227547
2,1,-0.962660540553534,0.143413639669519
3,1,2.2376339211444,0.0857824929073035
4,1,0.99943716432205,-0.0335613852490107
1,2,-0.290491680858724,0.0380042255446449
2,2,-0.818186193056646,-0.0155325064504607
3,2,-0.695124328867874,-0.0747945930768522
4,2,-0.904060142488672,0.0762097069397384
1,4,0.446730912032972,0.069155201405223
2,4,-0.575086720092056,0.0968063646826003
3,4,1.60323108239633,0.11961791738384
4,4,-7.45745472876362e-05,-0.233111048202163
1,5,0.370049076955838,0.0550843240692837
2,5,-0.183797705120337,-0.00737296292662036
3,5,-0.986113469286701,0.00448001217933147
4,5,0.521974181851454,-0.0906035778719076
1,6,0.469451889661123,-0.0380934005366612
2,6,0.767763182575087,0.0874516413468755
3,6,0.0369940017113128,-0.0679111681362416
4,6,-0.434998238260229,-0.0964534261972458
1,7,1.43805500669301,-0.206158005200076
2,7,2.29710584498683,-0.0485707151594503
3,7,2.25130663363992,0.0142174807145795
4,7,0.993610024634929,-0.0153718548994982
1,8,0.776201872400234,-0.0491045748573189
2,8,0.155276292822564,0.0269712737796529
3,8,0.290148295650164,0.164521913786809
4,8,1.12378893234818,0.0419412281444371
1,9,-0.123810504229128,-0.0538804316560101
2,9,0.29661366409246,-0.0974584091696866
3,9,-0.0377592078056904,-0.0282166261033893
4,9,0.376823070682213,-0.0426835634936999
1,10,1.65205953988931,0.0991658202997351
2,10,0.483670510403252,-0.0726100579395756
3,10,0.835308146758487,-0.0820463575326409
4,10,1.20986897503215,-0.0790603239153238
1,11,-0.637688721061107,-0.0492974038270054
2,11,-0.140046650665089,0.0067000859922441
3,11,-0.846036738009927,-0.0561995293608831
4,11,-0.314329427632979,-0.0670827067705582
1,14,-0.778863473945548,-0.0448169043407255
2,14,0.606088791197483,0.0815877943651701
3,14,-0.132320793509436,0.04044474306779
4,14,-1.35925849125302,0.100047833226145
1,16,0.266321397043526,-0.187862281286989
2,16,-0.831635879373194,0.0687731233790304
3,16,0.0981026910689918,0.031501962118888
4,16,-1.77610688616184,0.079397199747983
1,17,-0.520505222764219,0.0619375989355039
