tau_pop,0.00238,-0.000644,1.11e-05,-0.000226,-0.000485,-7.63e-05,-0.000206,0.000265,-0.000181,0.000282,-0.000883,0.000272,4.37e-05,3.64e-05,-0.00021,-0.00023,0.000215,-4.73e-05,-0.000838,0.000151,4.24e-05,0.00101,-0.00012,-0.00156
g_pop,-0.000644,0.000807,0.000597,0.000141,0.000184,-2.09e-05,0.000166,-0.000175,0.000112,-0.000121,0.000243,-0.000308,0.000178,8.18e-05,6.13e-05,5.34e-05,-0.000176,2.78e-06,0.0004,-0.000137,-0.000205,-3.75e-06,-0.000149,0.00149
c_pop,1.11e-05,0.000597,0.00407,-0.00029,0.000434,-0.000191,-0.000147,-0.000233,-0.00258,-0.000281,-5.36e-06,-0.000223,0.000992,3.11e-05,0.000185,-7.76e-05,-0.000134,-7.34e-05,4.51e-05,-0.000201,-0.000543,0.000431,0.000155,0.00243
a1_pop,-0.000226,0.000141,-0.00029,0.0038,0.000879,0.000126,8.61e-05,4.96e-05,-0.00278,-0.000176,8.5e-05,-8.38e-05,-0.000165,0.000633,0.000104,6.75e-05,-9.82e-05,0.000136,0.000562,4.87e-06,-0.000165,0.000444,-2.26e-05,-0.000175
a2_pop,-0.000485,0.000184,0.000434,0.000879,0.0114,0.000172,-4.62e-05,-0.000252,-0.00413,-0.000576,0.000315,-7.06e-05,9.51e-05,0.000157,0.00234,-7.09e-05,-0.000153,0.000188,0.00136,0.000124,-0.000437,-0.00041,-0.00409,0.00479
a3_pop,-7.63e-05,-2.09e-05,-0.000191,0.000126,0.000172,0.00713,3.93e-05,5.15e-05,0.000102,-0.00129,-2.81e-05,1.63e-05,4.39e-05,-3.56e-05,-3.14e-05,0.00027,7.54e-05,8.7e-05,-0.000365,0.000122,-4.5e-05,-0.000287,-0.00257,0.000625
d_pop,-0.000206,0.000166,-0.000147,8.61e-05,-4.62e-05,3.93e-05,0.00259,-6.29e-05,0.000864,-9.6e-05,0.000126,-0.000119,-5.12e-05,-1.52e-06,-5.17e-05,1.52e-05,-0.000404,-3.21e-05,0.00031,-0.000143,-0.000285,0.000224,-0.00128,0.0037
tau1_pop,0.000265,-0.000175,-0.000233,4.96e-05,-0.000252,5.15e-05,-6.29e-05,0.000501,-0.000115,0.000206,-0.000138,8.16e-05,-2.85e-06,-3.11e-05,-0.000125,-0.000189,0.000154,-4.27e-06,-0.000529,0.000187,0.000354,0.000929,0.000301,-0.00306
tau2_pop,-0.000181,0.000112,-0.00258,-0.00278,-0.00413,0.000102,0.000864,-0.000115,0.0382,-0.00111,-6.15e-05,-0.000242,-0.00111,-0.000464,-0.0006,0.000265,-0.000194,-0.000513,-0.00392,-0.000938,0.00114,0.000556,-0.00257,0.00168
tau3_pop,0.000282,-0.000121,-0.000281,-0.000176,-0.000576,-0.00129,-9.6e-05,0.000206,-0.00111,0.00408,-0.000114,3.14e-07,-0.000132,-3.43e-05,-0.000195,-0.000158,0.000111,-2.47e-06,0.000439,0.00111,-2.66e-05,0.000936,-0.00055,-0.000214
omega_tau,-0.000883,0.000243,-5.36e-06,8.5e-05,0.000315,-2.81e-05,0.000126,-0.000138,-6.15e-05,-0.000114,0.000965,-8.16e-05,-1.47e-05,-4.24e-05,0.000163,0.000106,-0.00013,2.36e-05,0.000509,-8.86e-05,-0.000208,-0.000511,-0.000313,0.000843
omega_g,0.000272,-0.000308,-0.000223,-8.38e-05,-7.06e-05,1.63e-05,-0.000119,8.16e-05,-0.000242,3.14e-07,-8.16e-05,0.000403,-5.7e-05,-5.74e-05,-7.28e-06,-3.95e-05,0.000104,3.19e-07,-0.000127,6.72e-05,6.97e-05,0.000112,-0.000175,-0.0007
omega_c,4.37e-05,0.000178,0.000992,-0.000165,9.51e-05,4.39e-05,-5.12e-05,-2.85e-06,-0.00111,-0.000132,-1.47e-05,-5.7e-05,0.00172,-3.4e-05,9.51e-05,-8.54e-05,-5.17e-05,-2.13e-05,0.000181,-8.77e-05,-4.83e-05,-0.00033,-0.000419,0.000396
omega_a1,3.64e-05,8.18e-05,3.11e-05,0.000633,0.000157,-3.56e-05,-1.52e-06,-3.11e-05,-0.000464,-3.43e-05,-4.24e-05,-5.74e-05,-3.4e-05,0.00221,-5.71e-05,1.48e-05,4.37e-05,8.74e-05,7.68e-05,-8.1e-05,-4.27e-05,-9.15e-05,0.000141,0.000177
