parameter,value,se_sa,rse_sa
tau_pop,0.525028649838689,0.0256191997442308,4.87958128610735
g_pop,2.57597424390072,0.0731990805291931,2.84160762486313
c_pop,0.529147300572047,0.0337678472834612,6.38155901900202
a1_pop,1.80334478943595,0.11118498195814,6.16548663402949
a2_pop,1.63037288531309,0.173726265220643,10.6556154598512
a3_pop,1.96713661223371,0.166105641832961,8.44403183794878
d_pop,0.262242319191245,0.0133524585736773,5.09164905758012
tau1_pop,0.00992556714960602,0.00022222784572334,2.23894355228015
tau2_pop,0.0933741720086025,0.018261088679474,19.556894895723
tau3_pop,0.044706374861084,0.00285520160925702,6.38656482018276
omega_tau,0.308450356449522,0.0310564181788006,10.0685304877847
omega_g,0.184007424051343,0.0200856509536374,10.915674221945
omega_c,0.476607925703655,0.0415204279031485,8.71165284166193
omega_a1,0.48313283371232,0.0469886104505218,9.72581600167151
omega_a2,0.815735934845962,0.0743337754931745,9.1124801933865
omega_a3,0.683753535508477,0.0626434661321073,9.16170270118196
omega_d,0.382312845247664,0.0411016187708419,10.7507815344829
omega_tau1,0.049802922434335,0.0192502298141575,38.6528116689114
omega_tau2,1.56383147583197,0.160347598811995,10.2535088524605
omega_tau3,0.39668244241029,0.0450551067918462,11.3579785679664
a1_,30.1708895039897,0.453011476889848,1.50148532024534
a2_,75.1548411212305,1.11545105413488,1.48420386164555
a3_,73.5282487161065,1.16254734681051,1.58108940048214
a4_,85.3918171868181,1.2849153683358,1.50472891978009
