parameter,value,CV,se_sa,rse_sa
g_pop,33.4758653062382,,0.918116315695409,2.74262160902027
d_pop,0.424244401424874,,0.0122809389433545,2.89477925981052
P0_pop,41.6807391645241,,1.27076711288424,3.04881136552836
omega_g,0.29799661436798,30.4736325863826,0.0180747352566241,6.06541631184594
omega_d,0.252611150378861,25.6695172218325,0.0221027982018436,8.74973181852592
omega_P0,0.509428300410185,54.4338195620589,0.0243869280486551,4.78711685805815
a,6.6778175806351,,0.503362574256297,7.53783055883393
b,0.0223178694580553,,0.00757702751392869,33.9504966106604
