parameter,value,CV,se_sa,rse_sa
g_pop,31.5489535759375,,0.876613423482385,2.778581614038
d_pop,0.396842221740328,,0.0117247970752384,2.95452359474755
P0_pop,42.0885859389719,,1.27604078034573,3.03179769972785
omega_g,0.289885535840024,29.608354350948,0.0184173590035335,6.35332113075738
omega_d,0.249805528191259,25.3753812036575,0.0227131339797815,9.09232639655262
omega_P0,0.505612740282481,53.9715906541969,0.0246603382596756,4.87731742002745
a,6.40146482523829,,0.543716497920674,8.49362626780401
b,0.0332357023045432,,0.00842180901886436,25.3396451252758
