rep,id,tau,g,c,a1,a2,a3,d,tau1,tau2,tau3
1,1,0.467242414071844,3.16741552883464,0.291874058595459,1.01294967433143,1.15730082266485,5.47228267530505,0.308672908995553,0.0104901267071253,2.12849543311342,0.0276266298189698
2,1,0.488339038766505,3.16741552883464,0.291874058595459,1.01294967433143,0.99028932148622,4.6975364360391,0.328845491128092,0.0104118664777465,1.83590075994841,0.0338730715808196
3,1,0.493777302345548,3.15777273058372,0.300245094221672,1.01294967433143,0.948407604400338,3.92140573106563,0.311046188118046,0.00920921795750391,2.43363422044152,0.0290679599398404
4,1,0.414406583704743,3.18120728596771,0.299195626139129,0.991493624172564,0.927158959509903,6.69565734223214,0.280126029417571,0.0097499921437594,1.04185308134769,0.0216910957924924
1,2,0.444854607635757,2.48193050410671,0.391567427519704,1.18164176456435,0.935553117395551,4.01016998363097,0.225250526531786,0.00985913424638294,1.6085123012818,0.0826345013441747
2,2,0.537399439696905,2.48075379503872,0.956728317504262,1.79242279595272,0.984078621846278,0.896577524119552,0.240669088896616,0.00861153587050865,0.0327664570119126,0.0734204440563492
3,2,0.701192431201306,2.23769429575037,0.399418760566935,2.61063806565769,2.63790276109019,1.10058194132862,0.401837154257876,0.00978271505667324,0.811150869327273,0.0658893005631402
4,2,0.479592437594405,2.04091685502554,0.767972981652863,1.64471990244924,0.526077046934078,0.89866902453472,0.28575539554936,0.00968519225008232,0.216469960871328,0.0407410482047711
1,4,0.438260133753781,2.36974469956678,0.520148507859456,3.121532550819,0.33262458543711,3.30718307034746,0.371962919781091,0.0098153202913166,0.14985709265712,0.0511978939821602
2,4,0.401284141931296,2.13333659078612,1.1848850349564,2.75968442563688,2.26975919164279,1.14911651238255,0.166331195710718,0.0110249510006116,0.271486390065891,0.0398367983592307
3,4,0.401808731160769,2.83821504962115,0.450413508332397,1.72615770930111,1.94073936791662,2.21021676274604,0.273082263312306,0.0103433822389985,0.504269141121137,0.0411434117615452
4,4,0.536356821303321,1.99074968289746,0.893542101197707,2.16447619424331,7.98282864048805,0.913519337395738,0.242988218617901,0.0113646810195515,0.422516284384809,0.0327055092249633
1,5,0.308607500371993,1.49354298981719,0.162823640598127,0.847388572891706,3.12031213293212,1.82292421398582,0.335960381692067,0.0101396084171389,0.016003608747048,0.0461688765692641
2,5,0.293569557893721,1.52634132226733,0.161643001863186,0.829197287453481,6.23522310781145,2.84273279417213,0.28713392789349,0.00922392206841729,0.025372832958531,0.0473913830501618
3,5,0.34449137107351,1.48341608605072,0.158067815008812,0.715053283358424,1.7031277022902,2.66839498904585,0.41179625658194,0.00920190341849267,0.0485919761281948,0.0381370611050783
4,5,0.36781388091962,1.47717190384607,0.159675925886339,0.715053283358424,3.5548876638175,4.61095602355226,0.301653799605875,0.00909097726917141,0.0516317723646922,0.032953203071319
1,6,0.950942153774657,2.69377533552449,0.595529848150075,1.98500146866332,1.03964653797512,5.57239877624427,0.42510442429422,0.00913788609552155,0.0463833961159369,0.0446440506805799
2,6,0.950942153774657,2.69377533552449,0.615623573004485,1.67253048142269,0.963010465478315,6.80884776321908,0.433499651469913,0.00982451129798986,0.0463833961159369,0.0536196493549853
3,6,0.950942153774657,2.70854507608529,0.662355943721873,1.61637021853195,1.0913544519387,4.39347533753692,0.34481234230361,0.00964071718062714,0.0268223860797304,0.0677147210912751
4,6,0.896932696271027,2.82329112630229,0.678071296747512,1.51177377840583,1.03876777068972,4.8044290125,0.447989431760702,0.0103425125604195,0.0290673067931235,0.0750865408128123
1,7,0.383146268542225,2.26369151414343,0.397645054006403,0.886807392316731,0.384516402202765,3.1251423762812,0.159710165465974,0.00954417491215936,0.0598781261921381,0.049911393526996
2,7,0.412258936294191,2.12560364822394,0.290266922232548,2.17355566251983,0.488289562726115,6.1977007880071,0.273529775060324,0.0093374738466609,0.0246660005175136,0.0318640379738402
3,7,0.560275116073706,2.79006506739805,0.702376115710015,1.20215992229527,0.639988983221505,1.44607138630766,0.168069512699743,0.0107249397632309,0.00863762295408518,0.0349678480887438
4,7,0.67181521786793,2.60749139325398,0.699886480664494,0.844274744418091,0.292372129375947,1.17284440922169,0.149236666095388,0.00958841261161749,0.0425241394253237,0.0702982456609115
1,8,0.428053625638864,3.48380476310949,0.303433511436685,2.20501509310499,0.512963705597676,0.878906298345824,0.129316284196655,0.00891165152840306,1.01574169098796,0.0470820919033628
2,8,0.517538719525828,3.15506910936393,0.318611246145593,1.64535569869215,0.398491730096273,1.71460687060498,0.177299340428631,0.0101380070998724,1.19608339921305,0.0209067341605224
3,8,0.536344793166205,3.19582721699425,0.386913803237898,1.46919955045957,0.550790010592825,5.579135138998,0.16458941307784,0.00962694175653746,1.12175735371393,0.0117539373694044
4,8,0.620604059732183,2.99290949317435,0.387447245491839,1.45686355585904,0.306767354083349,1.80160944739969,0.170062221554831,0.0101080461316796,1.49199991440747,0.0245891563376359
1,9,0.61810211828288,2.77708879108052,0.413899009171475,1.60374537701455,0.19183503975876,3.07691759295686,0.217921104323922,0.00917506833445153,0.654356899961707,0.0567910161344896
2,9,0.402492965433261,2.4656486066807,0.328447844102991,3.95337509078682,0.418477330780321,1.35713922335777,0.304683523455021,0.00982821938470645,0.0240580530388528,0.055674817205606
3,9,0.678068893778475,2.67376168875641,0.565102677618933,1.64941984124952,0.312204034374748,1.33149262159935,0.298206118349304,0.00982033316229238,0.165177025475677,0.0508583940346701
4,9,0.730079034741416,2.39278179676586,0.374560173525128,1.52682618953253,0.342951478822468,3.71697763716231,0.174154653779332,0.00996376826924717,0.319817526506834,0.0345127308364464
1,10,0.373376191545082,2.37450666865161,0.233125702421122,1.57217315669293,0.681410036255142,1.61530235903676,0.26974181075477,0.00975198249292532,0.110538517550253,0.0279483294965373
