rep,id,eta_tau,eta_g,eta_c,eta_a1,eta_a2,eta_a3,eta_d,eta_tau1,eta_tau2,eta_tau3
1,1,-0.11660462128636,0.206688155064248,-0.594944441035792,-0.576776612705533,-0.342718335931897,1.02311684841338,0.16301321057106,0.0553205327064393,3.12655586364081,-0.481335949723623
2,1,-0.0724429160282829,0.206688155064248,-0.594944441035792,-0.576776612705533,-0.498566887274902,0.870459219678583,0.226319049894072,0.0478321946909022,2.97867574136796,-0.277495755717035
3,1,-0.0613682216476985,0.203639137287766,-0.566667722236875,-0.576776612705533,-0.541779659338805,0.689871205311347,0.170672457270794,-0.0749090341389283,3.26052620702439,-0.430479571192831
4,1,-0.236605254086519,0.211032964712386,-0.570169216610359,-0.598185918436759,-0.56443900341182,1.22488016930465,0.0659706482348788,-0.0178474892365866,2.41214143954917,-0.723214261599049
1,2,-0.165705327857826,-0.0371911232729715,-0.30110911482542,-0.42273835952471,-0.555426107846587,0.712254641281612,-0.152055724700512,-0.00671560834473876,2.84645021828679,0.614311179343097
2,2,0.0232888213385236,-0.0376653461004255,0.592252617308543,-0.00607493494135428,-0.504858237523394,-0.78574950454781,-0.0858460438887775,-0.142011283773425,-1.04720943598706,0.496086320423429
3,2,0.289329526699387,-0.140781806219988,-0.281256452331154,0.369951504150201,0.481175440118543,-0.580739911586587,0.426777958907362,-0.0144969098016578,2.16183928954188,0.387859963856185
4,2,-0.0905161773467291,-0.232828664079578,0.37248770830446,-0.0920730592551565,-1.1311163525621,-0.783419460952423,0.0858672258289336,-0.0245158215233661,0.840837012917889,-0.0928799661949514
1,4,-0.18064018546401,-0.0834455820635177,-0.0171524812456288,0.54868092649944,-1.58954954867413,0.519517801831967,0.349525212566917,-0.0111695084425861,0.473067348319159,0.135582292245547
2,4,-0.268783072474268,-0.188540581079032,0.806134187863482,0.425473177747324,0.330864990237434,-0.537585592053661,-0.455288003167965,0.105047008456305,1.06729723341084,-0.115325038774937
3,4,-0.267476649962847,0.0969475412209967,-0.161100775852133,-0.0437451957081066,0.174260265299271,0.116511604339037,0.0405041218780305,0.0412329495338494,1.68649535966375,-0.0830522944878798
4,4,0.0213468187460764,-0.257716516838946,0.523926608819976,0.182535232661602,1.58848406222804,-0.767029723991231,-0.0762559996189237,0.135396421521429,1.50961321294118,-0.312572564252953
1,5,-0.531382588079603,-0.545076666835175,-1.17859918853955,-0.755239082692587,0.649124286771972,-0.0761370663805929,0.247724282650102,0.0213354113004435,-1.76380053253746,0.0321897979469617
2,5,-0.581338226507442,-0.523354230644216,-1.18587663275785,-0.776940326614467,1.3414056089692,0.368186851903659,0.0906797958957206,-0.0733136343305894,-1.30293574296983,0.0583243141911605
3,5,-0.421383789766091,-0.551880215403648,-1.20824269422518,-0.925041373792381,0.0436576328820806,0.304898174892934,0.451259745443175,-0.0757036125078097,-0.653156359002913,-0.158929564041179
4,5,-0.355875780364557,-0.556098425762313,-1.19812054608607,-0.925041373792381,0.779514710615243,0.851856226816971,0.140011042151722,-0.087831555707301,-0.592477549538855,-0.305027639513857
1,6,0.594000401736007,0.0447158704184317,0.118184666292451,0.0959764971124214,-0.449927964598262,1.04124663216839,0.483065884235546,-0.0826848903386843,-0.699673223173496,-0.0013950507842368
2,6,0.594000401736007,0.0447158704184317,0.151368849876535,-0.0753054189871717,-0.526499752316273,1.24164391900933,0.502622033499076,-0.0102335526221475,-0.699673223173496,0.18179948754893
3,6,0.594000401736007,0.0501838087244504,0.224536246692568,-0.10946012742051,-0.401389211362215,0.803541573468892,0.273731374962781,-0.0291184662919538,-1.24737793570676,0.415187496444091
4,6,0.535527994991927,0.0916754608160887,0.247985595771572,-0.176359507800154,-0.450773577846887,0.892959214343943,0.535500683586654,0.0411488653220699,-1.16700071133238,0.518525220042499
1,7,-0.315036013750404,-0.129230915653055,-0.285707060816665,-0.709770622236155,-1.44457758507348,0.462900853489156,-0.495908252022382,-0.0391829569264259,-0.44430350969058,0.110133198096106
2,7,-0.241801194138221,-0.192171977917728,-0.600465922940933,0.186721223836514,-1.20565543551103,1.14759939355729,0.0421415239716059,-0.0610782189158241,-1.33118897791127,-0.338638068166923
3,7,0.0649751095703823,0.0798371075029986,0.283202193828183,-0.405523282809486,-0.935113069144912,-0.307728498429092,-0.444891298834641,0.077457879838584,-2.38048735212765,-0.245687092534941
4,7,0.246530497076225,0.0121607974154753,0.279651307328181,-0.758920467703961,-1.71853662507311,-0.517147071657699,-0.563735549842902,-0.0345586186620296,-0.786542874870604,0.452630737675428
1,8,-0.204204350942024,0.301897209570597,-0.55610433028151,0.20109119691373,-1.15635893828843,-0.805655976339688,-0.707007739686248,-0.107754387448344,2.38675957862416,0.0517766085636012
2,8,-0.0143684895435997,0.202782590758125,-0.507295148595395,-0.091686565856278,-1.40887728620064,-0.13739516469859,-0.391429465743666,0.0211774718949417,2.550192887827,-0.760044790082847
3,8,0.0213243928692915,0.215618154469103,-0.313064906514672,-0.204925427920235,-1.08521040112264,1.0424547822981,-0.465814991645488,-0.030548367711915,2.48603702437161,-1.33592782606624
4,8,0.167240461393427,0.150018179206245,-0.311687145225676,-0.213357281396407,-1.67047437561446,-0.0878985862277177,-0.433104579498908,0.0182177849158532,2.77125794736015,-0.597810559318329
