g_mean,d_mean,P0_mean
43.2517,0.403477,55.2112
35.6955,0.388358,54.8848
62.4246,0.439093,54.0353
36.8671,0.349045,67.2816
52.3774,0.430515,47.799
48.9624,0.35418600000000006,54.4415
39.7224,0.371206,55.4158
53.1978,0.431584,71.7618
39.3466,0.449437,65.8758
49.3605,0.314377,53.3324
56.8439,0.415036,51.8975
43.6735,0.344704,70.3294
53.1978,0.431584,71.7618
53.1978,0.431584,71.7618
53.1978,0.431584,71.7618
43.2517,0.403477,55.2112
47.1137,0.428416,66.5704
53.1978,0.431584,71.7618
64.258,0.472154,44.1802
70.9144,0.537047,52.28209999999999
43.3611,0.477112,51.2882
47.3611,0.43723,61.5736
43.5589,0.386604,57.4492
47.1137,0.428416,66.5704
47.1137,0.4284160000000001,66.5704
47.3611,0.43723,61.5736
37.5223,0.426879,62.4963
39.3466,0.449437,65.8758
53.1978,0.431584,71.7618
64.7623,0.460944,61.1294
53.1978,0.431584,71.7618
48.9624,0.354186,54.4415
36.8671,0.349045,67.2816
53.1978,0.431584,71.7618
43.6735,0.344704,70.3294
42.21,0.393341,61.9921
53.1978,0.431584,71.7618
43.6735,0.344704,70.3294
43.6735,0.344704,70.3294
47.3611,0.43723,61.5736
43.2517,0.403477,55.2112
42.21,0.393341,61.9921
47.3611,0.43723,61.5736
41.111,0.368805,60.616
53.1978,0.431584,71.7618
53.1978,0.431584,71.7618
30.4535,0.347344,62.0343
43.3611,0.477112,51.2882
64.7623,0.460944,61.1294
48.6149,0.438508,52.8502
47.1137,0.428416,66.5704
41.111,0.368805,60.616
53.1978,0.431584,71.7618
47.3611,0.43723,61.5736
47.1137,0.428416,66.5704
40.4573,0.436498,58.9818
42.21,0.393341,61.9921
47.3611,0.43723,61.5736
47.3611,0.43723,61.5736
48.6149,0.438508,52.8502
62.4246,0.439093,54.0353
53.1978,0.431584,71.7618
43.2517,0.403477,55.2112
48.9624,0.354186,54.4415
53.1978,0.431584,71.7618
37.9677,0.382741,59.073
40.6727,0.363686,58.2594
57.9025,0.420567,57.5488
56.8439,0.415036,51.8975
47.3611,0.43723,61.5736
35.6955,0.388358,54.8848
50.08939999999999,0.412099,44.1162
39.3466,0.449437,65.8758
39.3466,0.449437,65.8758
39.7224,0.371206,55.4158
48.6149,0.438508,52.8502
53.1978,0.431584,71.7618
26.9078,0.496187,58.9443
47.1137,0.428416,66.5704
53.1978,0.431584,71.7618
53.1978,0.431584,71.7618
64.7623,0.460944,61.1294
53.1978,0.431584,71.7618
53.1978,0.431584,71.7618
39.5081,0.409091,57.8456
47.3611,0.43723,61.5736
47.1137,0.428416,66.5704
33.4969,0.411994,51.9886
64.7623,0.460944,61.1294
70.9144,0.537047,52.2821
41.111,0.368805,60.61600000000001
41.111,0.368805,60.616
40.6727,0.363686,58.2594
70.9144,0.537047,52.2821
45.4499,0.421511,67.8733
41.1615,0.380251,51.756
45.44989999999999,0.421511,67.8733
43.6735,0.344704,70.3294
39.3466,0.449437,65.8758
49.3605,0.314377,53.3324
64.7623,0.460944,61.1294
62.4246,0.439093,54.0353
42.21,0.393341,61.9921
47.3611,0.43723,61.5736
48.6149,0.438508,52.8502
34.1972,0.430395,64.713
35.6955,0.388358,54.8848
35.7395,0.435202,73.8972
39.7224,0.371206,55.4158
47.3611,0.43723,61.5736
41.111,0.368805,60.616
30.8164,0.454588,55.852
39.3466,0.449437,65.8758
43.6735,0.344704,70.3294
56.8439,0.415036,51.8975
43.5589,0.386604,57.4492
37.7706,0.406197,68.3622
64.7623,0.460944,61.1294
47.1137,0.428416,66.5704
40.015,0.392555,53.830999999999996
33.2762,0.519193,52.3349
41.111,0.368805,60.616
64.7623,0.460944,61.1294
56.8439,0.415036,51.8975
29.9268,0.475704,56.3477
47.3611,0.43723,61.5736
48.6149,0.43850799999999995,52.8502
47.3611,0.43723,61.5736
56.8439,0.415036,51.8975
38.6781,0.458811,50.7312
53.1978,0.431584,71.7618
50.8336,0.305657,32.6765
40.6727,0.363686,58.2594
39.3466,0.449437,65.8758
53.1978,0.431584,71.7618
56.8439,0.415036,51.8975
70.9144,0.537047,52.2821
39.3466,0.449437,65.8758
40.4573,0.436498,58.9818
47.3611,0.43723,61.5736
53.1978,0.431584,71.7618
41.111,0.368805,60.616
36.8671,0.349045,67.2816
48.6149,0.438508,52.8502
40.6727,0.363686,58.2594
64.7623,0.460944,61.1294
64.7623,0.460944,61.1294
38.9869,0.426648,47.0275
62.4246,0.439093,54.0353
41.111,0.368805,60.616
47.3611,0.43723,61.5736
34.593,0.411986,74.8999
53.1978,0.431584,71.7618
39.3466,0.449437,65.8758
53.1978,0.431584,71.7618
43.6735,0.344704,70.3294
47.3611,0.43723,61.5736
70.9144,0.537047,52.2821
41.111,0.368805,60.616
47.1137,0.428416,66.5704
64.258,0.472154,44.1802
41.111,0.368805,60.616
64.258,0.472154,44.1802
53.1978,0.431584,71.7618
36.8671,0.349045,67.2816
41.111,0.368805,60.616
53.1978,0.431584,71.7618
43.6735,0.344704,70.3294
41.1615,0.380251,51.756
43.5589,0.386604,57.4492
49.3605,0.314377,53.3324
43.5589,0.386604,57.4492
38.6246,0.350964,47.5548
53.1978,0.431584,71.7618
62.4246,0.439093,54.0353
43.6735,0.344704,70.3294
41.111,0.368805,60.616
39.3466,0.449437,65.8758
53.1978,0.431584,71.7618
39.3466,0.449437,65.8758
53.1978,0.431584,71.7618
41.1615,0.380251,51.756
47.3611,0.43723,61.5736
36.8671,0.349045,67.2816
47.3611,0.43723,61.5736
50.8336,0.305657,32.6765
62.4246,0.439093,54.0353
70.9144,0.537047,52.2821
64.7623,0.460944,61.1294
64.7623,0.460944,61.1294
53.1978,0.431584,71.7618
43.5589,0.386604,57.4492
57.9025,0.420567,57.5488
64.7623,0.460944,61.1294
57.9025,0.420567,57.5488
43.2517,0.403477,55.2112
64.7623,0.460944,61.1294
62.4246,0.439093,54.0353
39.3466,0.449437,65.8758
43.3611,0.477112,51.288199999999996
47.1137,0.428416,66.5704
45.4499,0.421511,67.8733
47.3611,0.43723,61.5736
53.1978,0.431584,71.7618
70.9144,0.537047,52.2821
53.1978,0.431584,71.7618
53.1978,0.431584,71.7618
43.2517,0.403477,55.2112
53.1978,0.431584,71.7618
43.2517,0.403477,55.2112
48.6149,0.43850799999999995,52.8502
64.7623,0.460944,61.1294
56.8439,0.415036,51.8975
47.1137,0.428416,66.5704
56.8439,0.415036,51.8975
41.9228,0.399778,46.3849
35.884,0.398791,59.1437
43.5589,0.386604,57.4492
48.9624,0.35418600000000006,54.4415
47.3611,0.43723,61.5736
47.3611,0.43723,61.5736
39.7224,0.371206,55.4158
53.1978,0.431584,71.7618
43.2517,0.403477,55.2112
53.1978,0.431584,71.7618
37.9677,0.382741,59.073
43.5589,0.386604,57.4492
43.2517,0.403477,55.2112
47.3611,0.43723,61.5736
48.6149,0.438508,52.8502
53.1978,0.431584,71.7618
56.8439,0.415036,51.8975
49.3605,0.314377,53.3324
37.4957,0.450868,68.8167
48.9624,0.354186,54.4415
53.1978,0.431584,71.7618
57.9025,0.420567,57.5488
39.3466,0.449437,65.8758
39.3466,0.4494369999999999,65.8758
47.1137,0.428416,66.5704
47.1137,0.428416,66.5704
64.7623,0.460944,61.1294
49.3605,0.314377,53.3324
35.6955,0.388358,54.8848
57.9025,0.420567,57.5488
53.1978,0.431584,71.7618
53.1978,0.431584,71.7618
47.1137,0.428416,66.5704
64.7623,0.460944,61.1294
70.9144,0.537047,52.28209999999999
53.1978,0.431584,71.7618
64.7623,0.460944,61.1294
43.6735,0.344704,70.3294
47.1137,0.428416,66.5704
39.3466,0.4494369999999999,65.8758
39.3466,0.449437,65.8758
49.3605,0.314377,53.3324
48.9624,0.354186,54.4415
45.4499,0.421511,67.8733
42.21,0.393341,61.9921
56.8439,0.415036,51.8975
70.9144,0.537047,52.2821
70.9144,0.537047,52.2821
43.2517,0.403477,55.2112
41.111,0.368805,60.616
45.4499,0.421511,67.8733
48.6149,0.438508,52.8502
43.2517,0.403477,55.2112
47.3611,0.43723,61.5736
53.1978,0.431584,71.7618
49.3605,0.314377,53.3324
37.5223,0.426879,62.4963
70.9144,0.537047,52.28209999999999
43.6735,0.344704,70.3294
48.6149,0.438508,52.8502
40.4573,0.436498,58.9818
53.1978,0.431584,71.7618
41.111,0.368805,60.616
37.5223,0.426879,62.4963
36.8671,0.349045,67.2816
53.1978,0.431584,71.7618
40.6727,0.363686,58.2594
34.1972,0.430395,64.713
43.5589,0.386604,57.4492
62.4246,0.439093,54.0353
38.6781,0.458811,50.7312
42.21,0.393341,61.9921
49.3605,0.314377,53.3324
40.4573,0.436498,58.9818
53.1978,0.431584,71.7618
47.1137,0.428416,66.5704
47.3611,0.43723,61.5736
53.1978,0.431584,71.7618
47.1137,0.428416,66.5704
39.3466,0.449437,65.8758
39.3466,0.449437,65.8758
62.4246,0.439093,54.0353
36.8671,0.349045,67.2816
47.3611,0.43723,61.5736
47.3611,0.43723,61.5736
41.111,0.368805,60.616
48.6149,0.438508,52.8502
64.7623,0.460944,61.1294
70.9144,0.537047,52.2821
53.1978,0.431584,71.7618
48.9624,0.354186,54.4415
43.2517,0.403477,55.2112
41.1615,0.380251,51.756
45.4499,0.421511,67.8733
64.258,0.472154,44.1802
64.7623,0.460944,61.1294
53.1978,0.431584,71.7618
43.2517,0.403477,55.2112
41.111,0.368805,60.61600000000001
39.3466,0.449437,65.8758
47.1137,0.428416,66.5704
42.21,0.393341,61.9921
53.1978,0.431584,71.7618
41.1615,0.380251,51.756
64.258,0.472154,44.1802
53.1978,0.431584,71.7618
47.3611,0.43723,61.5736
47.3611,0.43723,61.5736
53.1978,0.431584,71.7618
53.1978,0.431584,71.7618
34.1972,0.430395,64.713
48.9624,0.35418600000000006,54.4415
39.3466,0.449437,65.8758
62.4246,0.439093,54.0353
56.39,0.376053,42.3526
56.8439,0.415036,51.8975
45.4499,0.421511,67.8733
53.1978,0.431584,71.7618
39.3466,0.449437,65.8758
62.4246,0.439093,54.0353
40.6727,0.363686,58.2594
64.7623,0.460944,61.1294
47.1137,0.428416,66.5704
43.6735,0.344704,70.3294
47.3611,0.43723,61.5736
53.1978,0.431584,71.7618
64.7623,0.460944,61.1294
41.1615,0.380251,51.756
39.3466,0.449437,65.8758
35.6955,0.388358,54.8848
45.4499,0.421511,67.8733
53.1978,0.431584,71.7618
47.1137,0.428416,66.5704
53.1978,0.431584,71.7618
47.1137,0.428416,66.5704
34.1972,0.430395,64.713
39.3466,0.449437,65.8758
43.3611,0.477112,51.2882
35.6955,0.388358,54.8848
53.1978,0.431584,71.7618
37.5223,0.426879,62.4963
56.8439,0.415036,51.8975
49.3605,0.314377,53.3324
53.1978,0.431584,71.7618
32.8295,0.381065,60.9982
40.4573,0.436498,58.9818
41.111,0.368805,60.616
45.4499,0.421511,67.8733
53.1978,0.431584,71.7618
56.8439,0.415036,51.8975
62.4246,0.439093,54.0353
42.2214,0.438767,48.671
41.111,0.368805,60.616
56.8439,0.415036,51.8975
53.1978,0.431584,71.7618
53.1978,0.431584,71.7618
49.3605,0.314377,53.3324
49.3605,0.314377,53.3324
49.3605,0.314377,53.3324
48.9624,0.354186,54.4415
41.111,0.368805,60.61600000000001
47.3611,0.43723,61.5736
64.7623,0.460944,61.1294
45.4499,0.421511,67.8733
47.1137,0.428416,66.5704
43.2777,0.41206,53.188
38.6781,0.458811,50.7312
53.1978,0.431584,71.7618
43.3611,0.477112,51.2882
48.6149,0.438508,52.8502
42.21,0.393341,61.9921
48.6149,0.438508,52.8502
47.1137,0.428416,66.5704
36.8671,0.349045,67.2816
47.1137,0.428416,66.5704
47.3611,0.43723,61.5736
53.1978,0.431584,71.7618
40.6727,0.363686,58.2594
47.3611,0.43723,61.5736
56.39,0.376053,42.3526
64.7623,0.460944,61.1294
45.4499,0.421511,67.8733
30.4535,0.347344,62.0343
43.5589,0.386604,57.4492
62.4246,0.439093,54.0353
43.2517,0.403477,55.2112
45.4499,0.421511,67.8733
43.6735,0.344704,70.3294
56.8439,0.415036,51.8975
48.9624,0.354186,54.4415
42.21,0.393341,61.9921
43.5589,0.386604,57.4492
47.3611,0.43723,61.5736
70.9144,0.537047,52.2821
43.2517,0.403477,55.2112
53.1978,0.431584,71.7618
64.7623,0.460944,61.1294
37.5223,0.426879,62.4963
39.3466,0.449437,65.8758
30.453500000000002,0.34734399999999993,62.0343
41.111,0.368805,60.616
