g_mean,d_mean,P0_mean
43.6435,0.417772,74.0299
34.4817,0.415201,72.1072
37.6928,0.385725,80.5519
35.7395,0.435202,73.8972
33.5809,0.427528,71.164
34.593,0.411986,74.8999
39.3466,0.4494369999999999,65.8758
39.985,0.447801,73.657
40.5047,0.381205,72.4647
34.4817,0.415201,72.1072
39.985,0.447801,73.657
39.985,0.447801,73.657
37.2156,0.355597,73.4015
35.7395,0.43520200000000003,73.8972
43.6435,0.417772,74.0299
33.5809,0.427528,71.164
33.5809,0.427528,71.164
33.5809,0.427528,71.164
39.1252,0.39668,75.924
43.6435,0.417772,74.0299
32.8686,0.401719,69.0673
39.985,0.447801,73.657
45.4499,0.421511,67.8733
34.4817,0.415201,72.1072
38.6275,0.425753,70.6189
34.593,0.411986,74.8999
43.6435,0.417772,74.0299
37.7706,0.406197,68.3622
34.4817,0.415201,72.1072
40.5047,0.381205,72.4647
33.1514,0.415556,65.0091
35.7395,0.43520200000000003,73.8972
28.9686,0.457652,70.1938
33.1514,0.415556,65.0091
37.7706,0.406197,68.3622
47.1137,0.428416,66.5704
41.8731,0.347053,79.6236
43.6435,0.417772,74.0299
34.1972,0.430395,64.713
43.6735,0.344704,70.3294
34.4817,0.415201,72.1072
37.2156,0.355597,73.4015
37.7706,0.406197,68.3622
33.5809,0.427528,71.164
43.6435,0.417772,74.0299
37.2156,0.355597,73.4015
43.2517,0.4034769999999999,55.2112
36.8671,0.349045,67.2816
34.593,0.411986,74.8999
40.81,0.448091,72.9402
33.6368,0.420434,81.1219
33.1514,0.415556,65.0091
37.2156,0.355597,73.4015
37.2156,0.355597,73.4015
34.4817,0.415201,72.1072
39.985,0.447801,73.657
34.593,0.411986,74.8999
37.6928,0.385725,80.5519
34.593,0.411986,74.8999
38.6275,0.425753,70.6189
39.985,0.447801,73.657
39.1252,0.39668,75.924
39.1252,0.39668,75.924
33.5809,0.427528,71.164
53.1978,0.431584,71.7618
36.8671,0.349045,67.2816
37.6928,0.385725,80.5519
43.6435,0.417772,74.0299
40.5047,0.381205,72.4647
37.2156,0.355597,73.4015
37.6928,0.385725,80.5519
34.4817,0.415201,72.1072
37.2156,0.355597,73.4015
33.6675,0.456742,58.9667
37.6928,0.385725,80.5519
39.985,0.44780099999999995,73.657
43.6735,0.344704,70.3294
40.81,0.448091,72.9402
43.6435,0.417772,74.0299
39.985,0.447801,73.657
33.5809,0.427528,71.164
38.6275,0.425753,70.6189
34.4817,0.415201,72.1072
43.6435,0.417772,74.0299
42.21,0.393341,61.9921
40.5047,0.381205,72.4647
34.4817,0.415201,72.1072
33.5809,0.427528,71.164
34.593,0.411986,74.8999
39.1252,0.39668,75.924
34.4817,0.415201,72.1072
33.1514,0.415556,65.0091
28.9686,0.457652,70.1938
43.6435,0.417772,74.0299
38.6275,0.425753,70.6189
37.6928,0.385725,80.5519
45.44989999999999,0.421511,67.8733
43.6435,0.417772,74.0299
35.7395,0.435202,73.8972
43.6435,0.417772,74.0299
35.7395,0.435202,73.8972
45.4499,0.421511,67.8733
33.5809,0.427528,71.164
37.4957,0.450868,68.8167
34.4817,0.415201,72.1072
40.5047,0.381205,72.4647
33.6368,0.420434,81.1219
42.21,0.393341,61.9921
45.4499,0.421511,67.8733
32.8686,0.401719,69.0673
38.6275,0.425753,70.6189
39.1252,0.39668,75.924
35.7395,0.435202,73.8972
37.2156,0.355597,73.4015
43.643499999999996,0.417772,74.0299
40.5047,0.381205,72.4647
41.111,0.368805,60.616
40.4573,0.436498,58.9818
39.1252,0.39668,75.924
34.4817,0.415201,72.1072
37.7706,0.406197,68.3622
45.4499,0.421511,67.8733
35.7395,0.435202,73.8972
32.8686,0.401719,69.0673
43.6435,0.417772,74.0299
33.5809,0.427528,71.164
40.5047,0.381205,72.4647
34.4817,0.415201,72.1072
37.2156,0.355597,73.4015
35.7395,0.435202,73.8972
35.7395,0.435202,73.8972
35.7395,0.435202,73.8972
34.4817,0.415201,72.1072
39.985,0.447801,73.657
45.4499,0.421511,67.8733
34.593,0.411986,74.8999
53.1978,0.431584,71.7618
37.6928,0.385725,80.5519
43.2517,0.403477,55.2112
34.593,0.411986,74.8999
37.6928,0.385725,80.5519
40.5047,0.381205,72.4647
34.4817,0.415201,72.1072
34.593,0.411986,74.8999
43.6435,0.417772,74.0299
39.985,0.447801,73.657
33.5809,0.42752799999999996,71.164
37.7706,0.406197,68.3622
39.1252,0.39668,75.924
45.4499,0.421511,67.8733
40.81,0.448091,72.9402
34.4817,0.415201,72.1072
37.6928,0.385725,80.5519
39.985,0.447801,73.657
35.7395,0.435202,73.8972
34.593,0.411986,74.8999
39.1252,0.39668,75.924
33.5809,0.42752799999999996,71.164
40.81,0.448091,72.9402
38.6781,0.458811,50.7312
32.8686,0.401719,69.0673
34.4817,0.415201,72.1072
43.6435,0.417772,74.0299
64.7623,0.460944,61.1294
37.2156,0.355597,73.4015
37.2156,0.355597,73.4015
32.8686,0.401719,69.0673
43.6435,0.417772,74.0299
37.2156,0.355597,73.4015
37.6928,0.385725,80.5519
34.593,0.411986,74.8999
43.6435,0.417772,74.0299
39.985,0.44780099999999995,73.657
38.6275,0.425753,70.6189
41.8731,0.347053,79.6236
28.9686,0.457652,70.1938
34.4817,0.415201,72.1072
47.1137,0.428416,66.5704
34.4817,0.415201,72.1072
35.7395,0.435202,73.8972
39.1252,0.39668,75.924
37.6928,0.385725,80.5519
34.593,0.411986,74.8999
35.8312,0.495526,80.5818
39.985,0.447801,73.657
34.4817,0.415201,72.1072
45.44989999999999,0.421511,67.8733
34.4817,0.415201,72.1072
35.7395,0.435202,73.8972
45.4499,0.421511,67.8733
33.5809,0.427528,71.164
41.8731,0.347053,79.6236
39.1252,0.39668,75.924
39.1252,0.39668,75.924
34.4817,0.415201,72.1072
39.985,0.447801,73.657
34.593,0.411986,74.8999
43.6435,0.417772,74.0299
34.4817,0.415201,72.1072
43.6435,0.417772,74.0299
30.4535,0.347344,62.0343
34.4817,0.415201,72.1072
33.5809,0.427528,71.164
40.81,0.448091,72.9402
40.5047,0.381205,72.4647
40.81,0.448091,72.9402
34.4817,0.415201,72.1072
37.2156,0.355597,73.4015
37.6928,0.385725,80.5519
33.1514,0.415556,65.0091
38.6275,0.425753,70.6189
39.985,0.447801,73.657
34.593,0.411986,74.8999
47.1137,0.428416,66.5704
32.8686,0.401719,69.0673
28.9686,0.457652,70.1938
38.6275,0.425753,70.6189
34.593,0.411986,74.8999
45.4499,0.421511,67.8733
40.5047,0.381205,72.4647
39.985,0.447801,73.657
37.2156,0.355597,73.4015
35.8312,0.4955260000000001,80.5818
47.1137,0.4284160000000001,66.5704
38.6275,0.425753,70.6189
37.6928,0.38572500000000004,80.5519
34.4817,0.415201,72.1072
39.985,0.447801,73.657
34.4817,0.415201,72.1072
37.2156,0.355597,73.4015
