g_mean,d_mean,P0_mean
39.5074,0.358496,109.861
39.9948,0.346167,102.547
39.9948,0.346167,102.547
39.9948,0.346167,102.547
41.6999,0.393754,105.596
45.7378,0.412952,104.92
41.5513,0.315825,110.687
45.7378,0.412952,104.92
35.0274,0.417319,94.9924
39.5074,0.358496,109.861
40.4678,0.353783,94.0695
41.6999,0.393754,105.596
45.7378,0.412952,104.92
41.6999,0.393754,105.596
39.9948,0.346167,102.547
37.4452,0.382723,109.245
39.9948,0.346167,102.547
37.8796,0.374508,99.4207
39.9948,0.346167,102.547
45.7378,0.412952,104.92
36.6899,0.42542,94.3359
37.8796,0.374508,99.4207
37.8796,0.374508,99.4207
39.4311,0.336869,90.5688
39.9948,0.346167,102.547
41.5513,0.315825,110.687
39.5074,0.358496,109.861
39.5074,0.358496,109.861
45.7378,0.412952,104.92
41.5513,0.315825,110.687
37.8796,0.374508,99.4207
45.7378,0.412952,104.92
41.6999,0.393754,105.596
37.4452,0.382723,109.245
39.4311,0.336869,90.5688
39.4311,0.336869,90.5688
35.7713,0.448534,91.2664
37.4452,0.382723,109.245
39.5074,0.358496,109.861
36.6899,0.42542,94.3359
39.5074,0.358496,109.861
41.6999,0.393754,105.596
41.6999,0.393754,105.596
41.6999,0.393754,105.596
41.6999,0.393754,105.596
45.7378,0.412952,104.92
40.8065,0.365412,90.61
37.8796,0.374508,99.4207
39.9948,0.346167,102.547
40.4678,0.353783,94.0695
41.6999,0.393754,105.596
37.8796,0.374508,99.4207
39.5074,0.358496,109.861
40.4678,0.353783,94.0695
40.4678,0.353783,94.0695
41.6999,0.393754,105.596
37.8796,0.374508,99.4207
37.4452,0.382723,109.245
40.2979,0.376721,96.8152
45.7378,0.412952,104.92
37.4452,0.382723,109.245
39.5074,0.358496,109.861
35.0274,0.417319,94.9924
39.9948,0.346167,102.547
39.9948,0.346167,102.547
45.7378,0.412952,104.92
39.9948,0.346167,102.547
37.8796,0.374508,99.4207
37.4452,0.382723,109.245
37.4452,0.382723,109.245
40.4678,0.353783,94.0695
40.4678,0.353783,94.0695
40.8065,0.365412,90.61
33.4447,0.384458,89.665
36.8988,0.406681,92.5028
41.6999,0.393754,105.596
41.6999,0.393754,105.596
37.8796,0.374508,99.4207
39.9948,0.346167,102.547
37.4452,0.382723,109.245
39.9948,0.346167,102.547
35.0274,0.417319,94.9924
38.5311,0.422545,87.8683
37.6095,0.391973,88.3326
40.4678,0.353783,94.0695
40.4678,0.353783,94.0695
39.9948,0.34616700000000006,102.54699999999998
37.4452,0.382723,109.245
39.4311,0.336869,90.5688
37.4452,0.382723,109.245
37.4452,0.382723,109.245
39.9948,0.346167,102.547
32.8333,0.345688,123.576
41.5513,0.315825,110.687
36.6899,0.42542,94.3359
39.5074,0.358496,109.861
39.5074,0.358496,109.861
37.8796,0.374508,99.4207
37.8796,0.374508,99.4207
45.7378,0.412952,104.92
41.6999,0.393754,105.596
39.9948,0.346167,102.547
39.5074,0.358496,109.861
40.4678,0.353783,94.0695
37.8796,0.374508,99.4207
41.6999,0.393754,105.596
37.8796,0.374508,99.4207
41.5513,0.315825,110.687
33.4447,0.384458,89.665
37.4452,0.382723,109.245
37.8796,0.374508,99.4207
39.5074,0.358496,109.861
38.5432,0.378372,85.6151
45.7378,0.412952,104.92
39.9948,0.346167,102.547
37.4452,0.382723,109.245
37.8796,0.374508,99.4207
40.8065,0.365412,90.61
45.7378,0.412952,104.92
39.5074,0.358496,109.861
37.8796,0.374508,99.4207
40.4678,0.353783,94.0695
39.5074,0.358496,109.861
39.9948,0.346167,102.547
39.5074,0.358496,109.861
37.4452,0.382723,109.245
39.5074,0.358496,109.861
39.5074,0.358496,109.861
35.0274,0.417319,94.9924
37.8796,0.374508,99.4207
41.6999,0.393754,105.596
39.5074,0.358496,109.861
39.5074,0.358496,109.861
39.9948,0.346167,102.547
39.9948,0.346167,102.547
39.4311,0.336869,90.5688
37.4452,0.382723,109.245
41.1005,0.421231,86.2885
39.9948,0.346167,102.547
45.7378,0.412952,104.92
37.4452,0.382723,109.245
39.5074,0.358496,109.861
37.4452,0.382723,109.245
39.5074,0.358496,109.861
39.9948,0.346167,102.547
40.2979,0.37672100000000003,96.8152
39.9948,0.346167,102.547
40.2979,0.376721,96.8152
40.8065,0.365412,90.61
40.2979,0.37672100000000003,96.8152
41.6999,0.393754,105.596
39.9948,0.346167,102.547
39.5074,0.358496,109.861
37.4452,0.382723,109.245
41.5513,0.315825,110.687
39.4311,0.336869,90.5688
39.9948,0.346167,102.547
39.5074,0.358496,109.861
39.9948,0.346167,102.547
37.8796,0.374508,99.4207
41.6999,0.393754,105.596
37.4452,0.382723,109.245
37.4452,0.382723,109.245
39.5074,0.358496,109.861
45.7378,0.412952,104.92
40.4678,0.353783,94.0695
39.5074,0.358496,109.861
37.8796,0.374508,99.4207
45.7378,0.412952,104.92
39.9948,0.346167,102.547
37.8796,0.374508,99.4207
37.8796,0.374508,99.4207
37.8796,0.374508,99.4207
39.4311,0.336869,90.5688
39.9948,0.346167,102.547
36.8988,0.406681,92.5028
46.4261,0.416327,133.403
41.6999,0.393754,105.596
37.4452,0.382723,109.245
37.4452,0.382723,109.245
37.8796,0.374508,99.4207
45.7378,0.412952,104.92
39.9948,0.346167,102.547
46.4261,0.416327,133.403
41.6999,0.393754,105.596
45.7378,0.412952,104.92
41.5513,0.315825,110.687
41.6999,0.393754,105.596
39.9948,0.346167,102.547
39.9948,0.346167,102.547
37.4452,0.382723,109.245
37.4452,0.382723,109.245
41.6999,0.393754,105.596
39.5074,0.358496,109.861
39.9948,0.346167,102.547
41.6999,0.393754,105.596
39.5074,0.358496,109.861
41.6999,0.393754,105.596
39.9948,0.346167,102.547
41.6999,0.393754,105.596
40.4678,0.353783,94.0695
40.4678,0.353783,94.0695
34.6237,0.393052,90.5115
39.9948,0.346167,102.547
41.6999,0.393754,105.596
39.9948,0.346167,102.547
45.7378,0.412952,104.92
39.9948,0.34616700000000006,102.54699999999998
39.9948,0.346167,102.547
37.8796,0.374508,99.4207
37.8796,0.374508,99.4207
35.0274,0.417319,94.99240000000002
41.6999,0.393754,105.596
37.4452,0.382723,109.245
37.8796,0.374508,99.4207
41.5513,0.315825,110.687
45.7378,0.412952,104.92
41.6999,0.393754,105.596
45.7378,0.412952,104.92
37.8796,0.374508,99.4207
36.6899,0.42542,94.3359
35.0274,0.417319,94.9924
41.5513,0.315825,110.687
40.4678,0.353783,94.0695
37.4452,0.382723,109.245
39.9948,0.346167,102.547
39.5074,0.358496,109.861
37.4452,0.382723,109.245
40.4678,0.353783,94.0695
37.4452,0.382723,109.245
37.4452,0.382723,109.245
39.9948,0.346167,102.547
37.8796,0.374508,99.4207
33.4447,0.384458,89.665
40.8065,0.365412,90.61
39.9948,0.346167,102.547
40.2979,0.376721,96.8152
41.6999,0.393754,105.596
39.9948,0.346167,102.547
46.4261,0.416327,133.403
39.5074,0.358496,109.861
37.4452,0.382723,109.245
45.7378,0.412952,104.92
39.9948,0.346167,102.547
33.4447,0.384458,89.665
41.6999,0.393754,105.596
45.7378,0.412952,104.92
45.7378,0.412952,104.92
36.6899,0.42542,94.3359
37.6095,0.391973,88.3326
40.2979,0.376721,96.8152
39.5074,0.358496,109.861
37.8796,0.374508,99.4207
37.4452,0.382723,109.245
39.4311,0.3368689999999999,90.5688
45.7378,0.412952,104.92
39.5074,0.358496,109.861
39.4311,0.336869,90.5688
41.6999,0.393754,105.596
37.4452,0.382723,109.245
41.6999,0.393754,105.596
35.0274,0.417319,94.99240000000002
37.4452,0.382723,109.245
37.8796,0.374508,99.4207
45.7378,0.412952,104.92
39.5074,0.358496,109.861
41.6999,0.393754,105.596
37.4452,0.382723,109.245
37.4452,0.382723,109.245
36.6899,0.4254200000000001,94.3359
39.5074,0.358496,109.861
