g_mean,d_mean,P0_mean
22.9982,0.563716,27.5039
22.9728,0.533609,25.4534
26.0616,0.491724,26.0415
23.3544,0.595141,27.275
26.0616,0.491724,26.0415
23.2436,0.596024,34.758
19.6733,0.643823,18.0237
20.8686,0.49992,33.7416
22.9728,0.533609,25.4534
21.983,0.53159,28.0891
23.6363,0.512292,28.014
23.6363,0.512292,28.014
25.1285,0.49374,24.7838
23.636299999999995,0.512292,28.014
26.3669,0.564441,28.9978
23.6363,0.512292,28.014
22.9728,0.533609,25.4534
22.9982,0.563716,27.5039
20.8686,0.49992,33.7416
29.3545,0.47144,27.7344
31.687,0.434112,25.8852
24.7179,0.506438,35.207
25.8239,0.559448,28.6444
22.948,0.441956,21.6943
27.7412,0.500847,29.1595
22.947999999999997,0.441956,21.6943
21.4315,0.622765,23.2144
22.9982,0.563716,27.5039
25.762,0.423862,26.4272
21.1376,0.591978,32.8282
26.0616,0.491724,26.0415
22.9728,0.533609,25.4534
22.948,0.441956,21.6943
22.9728,0.533609,25.4534
25.1285,0.49374,24.7838
22.9982,0.563716,27.5039
20.8686,0.49992,33.7416
25.762,0.423862,26.4272
22.948,0.441956,21.6943
21.4315,0.622765,23.2144
23.3544,0.595141,27.275
23.2321,0.5051,30.5482
25.8239,0.559448,28.6444
25.762,0.423862,26.4272
26.6657,0.528801,25.142
22.9728,0.533609,25.4534
22.9982,0.563716,27.5039
22.9728,0.533609,25.4534
23.5378,0.490678,14.0142
22.948,0.441956,21.6943
25.1285,0.49374,24.7838
22.948,0.441956,21.6943
30.0262,0.522361,22.4047
21.4315,0.622765,23.2144
22.948,0.441956,21.6943
23.636299999999995,0.512292,28.014
25.762,0.423862,26.4272
25.8753,0.388775,19.7473
26.0616,0.491724,26.0415
21.1376,0.591978,32.8282
25.1285,0.49374,24.7838
28.7173,0.386082,14.7505
25.762,0.423862,26.4272
22.948,0.441956,21.6943
22.9728,0.533609,25.4534
21.1376,0.591978,32.8282
19.1499,0.582989,16.9289
22.948,0.441956,21.6943
29.589,0.482397,37.5396
26.0616,0.491724,26.0415
21.4315,0.622765,23.2144
26.3669,0.564441,28.9978
22.8008,0.548152,28.9255
22.6772,0.615941,33.0298
22.948,0.441956,21.6943
23.2436,0.596024,34.758
22.9982,0.563716,27.5039
22.6772,0.615941,33.0298
26.6657,0.528801,25.142
26.6657,0.528801,25.142
27.7412,0.500847,29.1595
26.0616,0.491724,26.0415
21.983,0.53159,28.0891
26.0616,0.491724,26.0415
26.3669,0.564441,28.9978
21.1376,0.591978,32.8282
22.9728,0.533609,25.4534
22.6772,0.615941,33.0298
22.948,0.441956,21.6943
25.1285,0.49374,24.7838
22.948,0.441956,21.6943
21.1376,0.591978,32.8282
27.7412,0.500847,29.1595
22.8008,0.548152,28.9255
25.1285,0.49374,24.7838
22.9728,0.533609,25.4534
20.0201,0.548733,19.2504
23.2436,0.596024,34.758
32.6356,0.378525,28.1777
22.9728,0.533609,25.4534
23.6363,0.512292,28.014
21.1376,0.591978,32.8282
25.8239,0.559448,28.6444
22.948,0.441956,21.6943
21.4315,0.622765,23.2144
27.7412,0.500847,29.1595
23.3544,0.595141,27.275
22.9728,0.533609,25.4534
22.948,0.441956,21.6943
19.1499,0.582989,16.9289
26.3669,0.564441,28.9978
25.1285,0.49374,24.7838
23.3544,0.595141,27.275
19.1499,0.582989,16.9289
22.948,0.441956,21.6943
22.948,0.441956,21.6943
22.947999999999997,0.441956,21.6943
29.3545,0.47144,27.7344
23.2436,0.596024,34.758
22.9728,0.533609,25.4534
20.8686,0.49992,33.7416
21.983,0.53159,28.0891
20.2269,0.700251,31.9571
29.3545,0.47144,27.7344
24.5091,0.481948,17.3577
22.948,0.441956,21.6943
31.3192,0.392268,24.4154
20.2269,0.700251,31.9571
27.741200000000003,0.500847,29.159499999999998
24.5091,0.481948,17.3577
22.972799999999996,0.533609,25.4534
20.2269,0.7002510000000001,31.9571
24.3578,0.511415,35.7805
22.9728,0.533609,25.4534
25.8239,0.559448,28.6444
26.0616,0.491724,26.0415
30.0149,0.283686,12.5167
26.0616,0.491724,26.0415
27.741200000000003,0.500847,29.159499999999998
22.948,0.441956,21.6943
22.948,0.441956,21.6943
26.4758,0.313991,18.3895
20.8686,0.49992,33.7416
19.155,0.659746,34.6674
28.7173,0.386082,14.7505
22.947999999999997,0.441956,21.6943
22.9982,0.563716,27.5039
22.8008,0.548152,28.9255
25.762,0.423862,26.4272
23.2321,0.5051,30.5482
22.948,0.441956,21.6943
23.5378,0.490678,14.0142
25.8239,0.559448,28.6444
22.9982,0.563716,27.5039
23.3544,0.595141,27.275
22.948,0.441956,21.6943
25.1285,0.49374,24.7838
