g_mean,d_mean,P0_mean
22.6599,0.516111,16.8925
31.4438,0.452361,17.0902
31.4438,0.452361,17.0902
29.9007,0.241111,13.2012
32.8076,0.314283,16.3136
29.9007,0.241111,13.2012
32.0412,0.496956,19.0269
32.8076,0.314283,16.3136
35.1186,0.378495,22.4417
31.6804,0.453581,22.0706
32.8076,0.314283,16.3136
31.3868,0.406908,20.2927
31.4438,0.452361,17.0902
31.3868,0.406908,20.2927
31.9913,0.382163,17.7524
31.9913,0.382163,17.7524
31.9913,0.382163,17.7524
29.9007,0.241111,13.2012
31.6804,0.453581,22.0706
32.8076,0.314283,16.3136
31.4438,0.452361,17.0902
31.9913,0.382163,17.7524
32.8076,0.314283,16.3136
30.496,0.440935,17.156
32.8076,0.314283,16.3136
32.8076,0.314283,16.3136
27.4867,0.454104,22.3006
26.3302,0.438903,17.7939
31.6804,0.453581,22.0706
29.9007,0.241111,13.2012
30.9867,0.52563,22.4994
30.496,0.440935,17.156
26.6657,0.528801,25.142
31.9913,0.382163,17.7524
30.9867,0.52563,22.4994
31.3868,0.406908,20.2927
32.8076,0.314283,16.3136
30.496,0.440935,17.156
32.8076,0.314283,16.3136
31.4438,0.452361,17.0902
28.717300000000005,0.386082,14.7505
31.4438,0.452361,17.0902
32.8076,0.314283,16.3136
30.9867,0.52563,22.4994
31.3868,0.406908,20.2927
31.9913,0.382163,17.7524
34.5241,0.375695,19.1908
31.4438,0.452361,17.0902
31.9913,0.382163,17.7524
31.6804,0.453581,22.0706
31.4438,0.452361,17.0902
32.8076,0.314283,16.3136
32.8076,0.314283,16.3136
34.5241,0.375695,19.1908
30.0149,0.283686,12.5167
31.4438,0.452361,17.0902
31.4438,0.452361,17.0902
31.4438,0.452361,17.0902
31.4438,0.452361,17.0902
31.4438,0.452361,17.0902
28.7173,0.386082,14.7505
31.6804,0.453581,22.0706
24.5091,0.481948,17.3577
39.0514,0.395208,20.4047
32.8076,0.314283,16.3136
34.5241,0.375695,19.1908
31.3868,0.406908,20.2927
23.5378,0.490678,14.0142
30.496,0.440935,17.156
32.8076,0.314283,16.3136
22.659900000000004,0.516111,16.8925
31.4438,0.452361,17.0902
31.4438,0.452361,17.0902
24.82,0.542297,19.4664
32.8076,0.314283,16.3136
31.4438,0.452361,17.0902
30.496,0.440935,17.156
34.5241,0.375695,19.1908
30.496,0.440935,17.156
26.4758,0.313991,18.3895
31.9913,0.382163,17.7524
32.8076,0.314283,16.3136
26.3302,0.438903,17.7939
31.4438,0.452361,17.0902
31.4438,0.45236099999999996,17.0902
29.9007,0.241111,13.2012
31.6804,0.453581,22.0706
31.3868,0.406908,20.2927
30.0149,0.283686,12.5167
31.4438,0.452361,17.0902
31.9913,0.382163,17.7524
30.9867,0.52563,22.4994
32.8076,0.314283,16.3136
22.8966,0.538098,19.6508
31.4438,0.452361,17.0902
31.3868,0.406908,20.2927
31.4438,0.452361,17.0902
30.0149,0.283686,12.5167
32.8076,0.314283,16.3136
28.7173,0.386082,14.7505
31.9913,0.382163,17.7524
31.6804,0.453581,22.0706
31.9913,0.382163,17.7524
34.5241,0.375695,19.1908
31.4438,0.452361,17.0902
31.9913,0.382163,17.7524
22.896599999999996,0.538098,19.6508
32.8076,0.314283,16.3136
27.1637,0.49717,21.7068
32.8076,0.314283,16.3136
32.8076,0.314283,16.3136
31.9913,0.382163,17.7524
32.8076,0.314283,16.3136
30.496,0.440935,17.156
33.0252,0.418055,24.7589
31.6804,0.453581,22.0706
30.9867,0.52563,22.4994
30.496,0.440935,17.156
30.9867,0.52563,22.4994
26.3302,0.438903,17.7939
32.8076,0.314283,16.3136
22.6599,0.516111,16.8925
32.8076,0.314283,16.3136
31.9913,0.382163,17.7524
28.7173,0.386082,14.7505
30.9867,0.52563,22.499399999999998
31.6804,0.453581,22.0706
28.7173,0.386082,14.7505
30.9867,0.52563,22.4994
34.5241,0.375695,19.1908
29.9007,0.241111,13.2012
30.496,0.440935,17.156
30.0149,0.283686,12.5167
32.8076,0.314283,16.3136
30.9867,0.52563,22.4994
27.4867,0.454104,22.3006
35.1186,0.378495,22.4417
32.0412,0.496956,19.0269
32.8076,0.314283,16.3136
31.4438,0.452361,17.0902
26.3302,0.438903,17.7939
31.9913,0.382163,17.7524
30.9867,0.52563,22.4994
27.4867,0.454104,22.3006
23.5378,0.490678,14.0142
32.8076,0.314283,16.3136
31.6804,0.453581,22.0706
30.0149,0.283686,12.5167
32.8076,0.314283,16.3136
24.5091,0.481948,17.3577
31.3868,0.406908,20.2927
29.9007,0.241111,13.2012
31.9913,0.382163,17.7524
31.4438,0.452361,17.0902
32.8076,0.314283,16.3136
31.4438,0.452361,17.0902
27.4867,0.454104,22.3006
32.8076,0.314283,16.3136
30.9867,0.52563,22.4994
31.4438,0.452361,17.0902
26.6657,0.528801,25.142
32.8076,0.314283,16.3136
31.4438,0.452361,17.0902
29.9007,0.241111,13.2012
32.8076,0.314283,16.3136
32.8076,0.314283,16.3136
30.0149,0.283686,12.5167
32.8076,0.314283,16.3136
31.4438,0.452361,17.0902
31.4438,0.452361,17.0902
32.8076,0.314283,16.3136
31.4438,0.452361,17.0902
57.181,0.493434,18.3087
22.8966,0.538098,19.6508
31.4438,0.452361,17.0902
30.496,0.440935,17.156
32.8076,0.314283,16.3136
31.4438,0.452361,17.0902
32.0412,0.496956,19.0269
24.5091,0.481948,17.3577
31.9913,0.382163,17.7524
27.1637,0.49717,21.7068
31.9913,0.382163,17.7524
32.8076,0.314283,16.3136
24.5091,0.481948,17.3577
32.8076,0.314283,16.3136
31.4438,0.452361,17.0902
31.4438,0.452361,17.0902
29.9007,0.241111,13.2012
30.9867,0.52563,22.4994
22.6599,0.516111,16.8925
32.8076,0.314283,16.3136
24.5091,0.481948,17.3577
