g_mean,d_mean,P0_mean
36.2356,0.407211,43.8532
25.1293,0.599694,48.9871
25.1293,0.599694,48.9871
28.1767,0.413265,54.66389999999999
29.1143,0.475252,54.1224
27.2433,0.490622,54.0751
22.8412,0.486934,41.4953
30.8164,0.454588,55.852
39.7224,0.371206,55.4158
30.8164,0.454588,55.852
28.1767,0.413265,54.6639
29.9268,0.475704,56.3477
39.7224,0.371206,55.4158
36.2356,0.407211,43.8532
27.2433,0.490622,54.0751
28.1767,0.413265,54.6639
32.8295,0.381065,60.9982
35.6427,0.3619,50.5024
29.1143,0.475252,54.1224
30.3948,0.488536,59.759
29.0329,0.456816,53.812
29.1143,0.475252,54.1224
28.1767,0.413265,54.6639
33.2773,0.471513,58.5634
28.1767,0.413265,54.66389999999999
27.2433,0.490622,54.0751
29.0329,0.456816,53.812
29.7752,0.442801,59.7692
30.3948,0.488536,59.759
30.8164,0.454588,55.852
33.4001,0.437117,56.4207
31.4645,0.487023,50.7961
28.1767,0.413265,54.6639
30.3948,0.488536,59.759
30.8164,0.454588,55.852
28.1767,0.413265,54.6639
29.0329,0.456816,53.812
29.9268,0.475704,56.3477
31.367,0.474299,46.8028
28.1767,0.413265,54.6639
30.8164,0.454588,55.852
29.1788,0.487322,53.0976
29.1788,0.487322,53.0976
30.8164,0.454588,55.852
29.1143,0.475252,54.1224
25.1293,0.599694,48.9871
33.4001,0.437117,56.4207
29.1143,0.475252,54.1224
28.1767,0.413265,54.6639
33.4001,0.437117,56.4207
36.8634,0.417139,49.771
19.6543,0.648621,46.0928
28.1767,0.413265,54.6639
28.4232,0.525204,51.3288
28.4232,0.525204,51.3288
27.2433,0.490622,54.0751
31.9795,0.39276,48.1588
29.1143,0.475252,54.1224
26.917,0.542145,49.728
31.9795,0.39276,48.1588
27.2433,0.490622,54.0751
33.4969,0.411994,51.9886
26.9078,0.496187,58.9443
29.0329,0.456816,53.812
26.917,0.542145,49.728
36.2786,0.373476,44.7898
28.1767,0.413265,54.6639
30.4535,0.347344,62.0343
