g_mean,d_mean,P0_mean
27.7758,0.507528,43.5944
29.6254,0.520171,48.4005
29.6254,0.520171,48.4005
28.3395,0.517673,39.2745
30.0889,0.460936,49.0167
32.4017,0.438757,36.6693
22.8412,0.486934,41.4953
26.917,0.542145,49.728
31.367,0.474299,46.8028
24.0588,0.512916,40.8286
24.0588,0.512916,40.8286
31.2343,0.505658,45.0802
32.4017,0.438757,36.6693
23.0926,0.491606,44.9662
26.917,0.542145,49.728
26.917,0.542145,49.728
28.3133,0.477388,41.6868
30.3941,0.407721,42.7534
29.6254,0.520171,48.4005
32.2838,0.520971,51.8993
24.9148,0.541527,37.188
30.5871,0.459807,52.9256
29.8912,0.494218,46.3449
30.3941,0.407721,42.7534
29.1418,0.505724,44.2374
32.0614,0.477571,48.0225
26.8035,0.479089,42.6961
29.6254,0.520171,48.4005
24.0588,0.512916,40.8286
26.917,0.542145,49.728
26.917,0.542145,49.728
29.2606,0.464152,48.8957
29.9482,0.454225,34.9564
28.3133,0.477388,41.6868
26.8035,0.479089,42.6961
23.0926,0.491606,44.9662
29.8018,0.409985,33.8094
27.9688,0.478951,40.158
31.367,0.474299,46.8028
27.7758,0.507528,43.5944
28.3133,0.477388,41.6868
30.4042,0.492602,41.6671
22.8412,0.486934,41.4953
27.7758,0.507528,43.5944
20.2269,0.700251,31.9571
30.3941,0.407721,42.7534
27.7758,0.507528,43.5944
29.6254,0.520171,48.4005
22.8412,0.486934,41.4953
29.2606,0.464152,48.8957
38.9033,0.380914,38.694
27.7758,0.507528,43.5944
27.7758,0.507528,43.5944
29.9482,0.454225,34.9564
28.6681,0.478657,40.0284
29.8912,0.494218,46.3449
36.2356,0.407211,43.8532
30.5871,0.459807,52.9256
24.9148,0.541527,37.188
26.917,0.542145,49.728
31.496400000000005,0.422036,40.1236
28.3635,0.505767,39.3848
26.8035,0.479089,42.6961
27.7758,0.507528,43.5944
31.2343,0.505658,45.0802
29.6254,0.520171,48.4005
31.4964,0.422036,40.1236
31.2343,0.505658,45.0802
25.1293,0.599694,48.9871
27.7758,0.507528,43.5944
29.6254,0.520171,48.4005
28.6681,0.478657,40.0284
27.8124,0.527569,42.8617
29.2606,0.464152,48.8957
29.8018,0.409985,33.8094
27.7758,0.507528,43.5944
31.367,0.474299,46.8028
27.1065,0.38903,34.3813
31.2343,0.505658,45.0802
22.8412,0.486934,41.4953
27.9688,0.47895100000000007,40.158
27.7758,0.507528,43.5944
25.8214,0.484961,40.5328
29.8912,0.494218,46.3449
29.6254,0.520171,48.4005
29.9268,0.475704,56.3477
34.904,0.397358,42.0042
28.6681,0.478657,40.0284
27.7758,0.507528,43.5944
27.7758,0.507528,43.5944
29.9482,0.454225,34.9564
27.7758,0.507528,43.5944
31.2343,0.505658,45.0802
19.6543,0.648621,46.0928
26.8035,0.479089,42.6961
23.0926,0.491606,44.9662
27.9688,0.478951,40.158
27.7758,0.507528,43.5944
27.8124,0.527569,42.8617
31.367,0.474299,46.8028
29.2606,0.464152,48.8957
29.6254,0.520171,48.4005
29.6254,0.520171,48.4005
29.8912,0.494218,46.3449
29.3005,0.442324,55.3247
23.1878,0.60116,37.8686
31.367,0.474299,46.8028
25.1293,0.599694,48.9871
27.7758,0.507528,43.5944
26.8035,0.479089,42.6961
26.8035,0.479089,42.6961
27.8124,0.527569,42.861700000000006
28.3635,0.505767,39.3848
29.6254,0.520171,48.4005
28.6681,0.478657,40.0284
29.1418,0.505724,44.2374
31.4645,0.487023,50.7961
27.7758,0.507528,43.5944
27.3119,0.516914,35.7023
29.9268,0.475704,56.3477
25.1293,0.599694,48.9871
28.3133,0.477388,41.6868
27.7758,0.507528,43.5944
27.7758,0.507528,43.5944
26.917,0.542145,49.728
29.9268,0.475704,56.3477
32.4298,0.349599,31.2928
26.917,0.542145,49.728
28.3133,0.477388,41.6868
30.7854,0.460142,37.914
27.7758,0.507528,43.5944
23.0926,0.491606,44.96619999999999
31.2343,0.505658,45.0802
29.6254,0.520171,48.4005
23.0926,0.491606,44.9662
28.4232,0.525204,51.3288
31.2343,0.505658,45.0802
27.9688,0.47895100000000007,40.158
31.2343,0.505658,45.0802
30.7854,0.460142,37.914
36.2356,0.407211,43.853199999999994
27.7758,0.507528,43.5944
34.904,0.397358,42.0042
27.7758,0.507528,43.5944
29.9482,0.454225,34.9564
27.9688,0.478951,40.158
29.6254,0.520171,48.4005
29.1986,0.483061,34.8933
27.7758,0.507528,43.5944
23.0926,0.491606,44.9662
29.3005,0.442324,55.3247
32.0614,0.477571,48.0225
25.1293,0.599694,48.9871
36.2356,0.407211,43.8532
28.3635,0.505767,39.3848
30.3941,0.407721,42.7534
28.3133,0.477388,41.6868
32.4017,0.438757,36.6693
29.1418,0.505724,44.2374
27.7758,0.507528,43.5944
24.9148,0.541527,37.188
27.9688,0.478951,40.158
29.6254,0.520171,48.4005
30.5871,0.459807,52.9256
29.9482,0.454225,34.9564
32.0614,0.477571,48.0225
26.917,0.542145,49.728
29.6254,0.520171,48.4005
26.917,0.542145,49.728
19.6543,0.648621,46.09279999999999
29.6254,0.520171,48.4005
27.7758,0.507528,43.5944
31.4964,0.422036,40.1236
29.1418,0.505724,44.2374
27.7758,0.507528,43.5944
23.1878,0.60116,37.8686
25.1293,0.599694,48.9871
29.6254,0.520171,48.4005
26.8035,0.479089,42.6961
29.1418,0.505724,44.2374
31.367,0.474299,46.8028
27.7758,0.507528,43.5944
31.2343,0.505658,45.0802
29.2606,0.46415200000000006,48.8957
27.8124,0.527569,42.8617
32.9312,0.503096,41.053
32.4017,0.438757,36.6693
29.6254,0.520171,48.4005
33.821,0.338376,39.7768
31.4645,0.487023,50.7961
33.0817,0.464085,40.165
24.0588,0.512916,40.8286
27.8124,0.527569,42.8617
26.917,0.542145,49.728
30.7854,0.460142,37.914
27.7758,0.507528,43.5944
27.8124,0.527569,42.8617
31.367,0.474299,46.8028
29.6254,0.520171,48.4005
29.9482,0.454225,34.9564
27.7758,0.507528,43.5944
28.4232,0.525204,51.3288
29.6254,0.520171,48.4005
30.7854,0.460142,37.914
29.8018,0.409985,33.8094
27.8124,0.527569,42.8617
26.917,0.542145,49.728
27.8124,0.527569,42.8617
32.1933,0.387967,43.4272
28.3133,0.477388,41.6868
28.3133,0.477388,41.6868
22.6186,0.613825,39.6289
32.4017,0.438757,36.6693
27.7758,0.507528,43.5944
27.7758,0.507528,43.5944
27.7758,0.507528,43.5944
29.6254,0.520171,48.4005
36.2786,0.373476,44.7898
30.3941,0.407721,42.7534
32.4017,0.438757,36.6693
32.4017,0.438757,36.6693
28.6681,0.47865699999999994,40.0284
22.8412,0.486934,41.4953
28.3635,0.505767,39.3848
19.6543,0.648621,46.0928
29.6254,0.520171,48.4005
30.7854,0.460142,37.914
22.8412,0.486934,41.4953
27.7758,0.507528,43.5944
26.917,0.542145,49.728
29.6254,0.520171,48.4005
27.7758,0.507528,43.5944
27.7758,0.507528,43.5944
28.3395,0.517673,39.2745
