g_mean,d_mean,P0_mean
20.0201,0.548733,19.2504
22.9982,0.563716,27.5039
22.9728,0.533609,25.4534
21.0314,0.572588,20.262
26.0616,0.49172399999999994,26.041499999999996
22.948,0.441956,21.6943
19.1499,0.582989,16.9289
26.6657,0.528801,25.142
21.0314,0.572588,20.262
22.6599,0.516111,16.8925
27.4867,0.454104,22.3006
22.9728,0.533609,25.4534
21.0314,0.572588,20.262
31.9913,0.382163,17.7524
22.9982,0.563716,27.5039
19.6733,0.643823,18.0237
20.0201,0.548733,19.2504
23.6363,0.512292,28.014
25.1285,0.49374,24.7838
26.6657,0.528801,25.142
26.4758,0.313991,18.3895
22.896599999999996,0.538098,19.6508
22.948,0.441956,21.6943
25.1285,0.49374,24.7838
31.7179,0.445551,25.9895
19.1499,0.582989,16.9289
26.6657,0.528801,25.142
24.4332,0.478736,17.8777
19.1499,0.582989,16.9289
22.9982,0.563716,27.5039
19.1499,0.582989,16.9289
20.0201,0.548733,19.2504
30.0149,0.283686,12.5167
23.5378,0.490678,14.0142
20.0201,0.548733,19.2504
23.5378,0.490678,14.0142
21.0314,0.572588,20.262
22.9728,0.533609,25.4534
31.9913,0.382163,17.7524
21.0314,0.572588,20.262
27.1637,0.49717,21.7068
21.0314,0.572588,20.262
21.0314,0.572588,20.262
27.4867,0.454104,22.3006
20.0201,0.548733,19.2504
20.0201,0.548733,19.2504
26.3669,0.564441,28.9978
20.0201,0.548733,19.2504
22.9728,0.533609,25.4534
24.4332,0.478736,17.8777
19.1499,0.582989,16.9289
22.8966,0.538098,19.6508
19.6733,0.643823,18.0237
25.1285,0.49374,24.7838
20.0201,0.548733,19.2504
21.0314,0.572588,20.262
33.0252,0.418055,24.7589
25.1285,0.49374,24.7838
23.5378,0.490678,14.0142
21.0314,0.572588,20.262
22.8966,0.538098,19.6508
28.7173,0.386082,14.7505
23.3544,0.595141,27.275
27.4867,0.454104,22.3006
31.9913,0.382163,17.7524
24.4332,0.478736,17.8777
25.1285,0.49374,24.7838
21.0314,0.572588,20.262
19.1499,0.582989,16.9289
26.6657,0.528801,25.142
30.496,0.440935,17.156
16.2686,0.61364,16.8165
22.972799999999996,0.533609,25.4534
23.3544,0.595141,27.275
20.0201,0.548733,19.2504
19.6733,0.643823,18.0237
24.6724,0.47304,15.7526
23.3544,0.595141,27.275
22.9982,0.563716,27.5039
21.0314,0.572588,20.262
22.9982,0.563716,27.5039
28.7173,0.386082,14.7505
20.0201,0.548733,19.2504
22.8966,0.538098,19.6508
23.5378,0.490678,14.0142
20.0201,0.548733,19.2504
21.0314,0.572588,20.262
22.9728,0.533609,25.4534
23.3544,0.595141,27.275
23.3544,0.595141,27.275
32.0412,0.496956,19.0269
22.9728,0.533609,25.4534
19.6733,0.643823,18.0237
24.6724,0.47304,15.7526
23.3544,0.595141,27.275
22.9728,0.533609,25.4534
24.4332,0.478736,17.8777
24.6724,0.47304,15.7526
25.8753,0.388775,19.7473
16.2686,0.61364,16.8165
19.6733,0.643823,18.0237
25.1285,0.49374,24.7838
19.1499,0.582989,16.9289
25.8239,0.559448,28.6444
24.4332,0.478736,17.8777
22.9728,0.533609,25.4534
22.9982,0.563716,27.5039
16.2686,0.61364,16.8165
22.6772,0.615941,33.0298
27.4867,0.454104,22.3006
22.948,0.441956,21.6943
16.2686,0.61364,16.8165
22.9728,0.533609,25.4534
34.5241,0.375695,19.1908
22.948,0.441956,21.6943
30.0149,0.283686,12.5167
27.4867,0.454104,22.3006
21.1376,0.591978,32.8282
22.9728,0.533609,25.4534
22.9728,0.533609,25.4534
20.0201,0.548733,19.2504
25.8753,0.388775,19.7473
