g_mean,d_mean,P0_mean
29.8018,0.409985,33.8094
31.3234,0.496323,52.4693
32.4298,0.349599,31.2928
29.1986,0.483061,34.8933
23.2436,0.596024,34.758
31.367,0.474299,46.8028
34.904,0.397358,42.0042
27.7758,0.507528,43.5944
31.1484,0.41916,31.5983
30.6287,0.472648,37.1622
31.1484,0.41916,31.5983
30.6287,0.472648,37.1622
35.2012,0.321892,22.9195
31.1484,0.41916,31.5983
29.7394,0.39078,29.5552
28.2822,0.55769,33.4156
27.4307,0.483663,31.9133
29.1418,0.505724,44.2374
29.1986,0.483061,34.8933
26.5932,0.534245,45.9495
35.9598,0.3575,33.0661
30.6287,0.472648,37.1622
24.9148,0.541527,37.188
23.0926,0.491606,44.9662
34.9332,0.402203,35.7463
25.9853,0.473594,34.754
30.6287,0.472648,37.1622
32.4298,0.349599,31.2928
32.9312,0.503096,41.053
30.4042,0.492602,41.6671
32.4017,0.438757,36.6693
32.4017,0.438757,36.6693
30.6287,0.472648,37.1622
30.6287,0.472648,37.1622
28.2822,0.55769,33.4156
29.2777,0.421749,26.4794
24.0588,0.512916,40.8286
29.7394,0.39078,29.5552
32.0489,0.433333,30.8075
29.7394,0.39078,29.5552
30.6287,0.472648,37.1622
30.6287,0.472648,37.1622
31.4645,0.487023,50.7961
29.589,0.482397,37.5396
33.9415,0.48994,40.1337
29.1986,0.483061,34.8933
32.4017,0.438757,36.6693
29.1986,0.483061,34.8933
28.2822,0.55769,33.4156
30.5871,0.459807,52.9256
30.6287,0.472648,37.1622
29.589,0.482397,37.5396
27.4307,0.483663,31.9133
36.8261,0.40756,41.3465
27.4307,0.48366300000000007,31.9133
28.4232,0.525204,51.3288
32.1933,0.387967,43.4272
27.9688,0.478951,40.158
30.6287,0.472648,37.1622
32.0489,0.433333,30.8075
27.764,0.541912,35.6715
26.8035,0.479089,42.6961
30.4042,0.492602,41.6671
32.4017,0.438757,36.6693
29.7394,0.39078000000000007,29.5552
30.6287,0.472648,37.1622
29.589,0.482397,37.5396
38.9033,0.380914,38.694
