g_mean,d_mean,P0_mean
29.8018,0.409985,33.8094
28.3635,0.505767,39.3848
28.3635,0.505767,39.3848
23.2321,0.5051,30.5482
27.1065,0.38903,34.3813
28.6681,0.478657,40.0284
28.3635,0.505767,39.3848
26.917,0.542145,49.728
30.7854,0.460142,37.914
24.0588,0.512916,40.8286
25.8214,0.484961,40.5328
23.0926,0.491606,44.96619999999999
27.9688,0.478951,40.158
24.0588,0.512916,40.8286
28.6681,0.478657,40.0284
22.6186,0.613825,39.6289
32.4017,0.438757,36.6693
24.9148,0.541527,37.188
29.9482,0.45422499999999993,34.9564
24.9148,0.541527,37.188
29.6254,0.520171,48.4005
30.7854,0.460142,37.914
27.3119,0.516914,35.7023
22.6186,0.613825,39.6289
29.9482,0.454225,34.9564
28.6681,0.478657,40.0284
27.6763,0.454608,33.3303
19.6543,0.648621,46.0928
29.8018,0.409985,33.8094
24.0588,0.512916,40.8286
22.9728,0.533609,25.4534
22.8008,0.548152,28.9255
26.8035,0.479089,42.6961
24.0588,0.512916,40.8286
26.8035,0.479089,42.6961
29.8018,0.409985,33.8094
30.7854,0.460142,37.914
20.2269,0.700251,31.9571
22.6186,0.613825,39.6289
28.3635,0.505767,39.3848
22.6186,0.613825,39.6289
22.8412,0.486934,41.4953
25.8214,0.484961,40.5328
33.2762,0.519193,52.3349
24.0588,0.512916,40.8286
24.9148,0.541527,37.188
26.8035,0.479089,42.6961
32.4017,0.438757,36.6693
29.8018,0.409985,33.8094
24.9148,0.541527,37.188
27.9688,0.478951,40.158
22.6186,0.613825,39.6289
30.7854,0.460142,37.914
27.1065,0.38903,34.3813
27.9688,0.478951,40.158
22.948,0.441956,21.6943
32.4017,0.438757,36.6693
20.8686,0.49992,33.7416
28.3133,0.477388,41.6868
29.8018,0.409985,33.8094
29.9482,0.454225,34.9564
27.3119,0.516914,35.7023
29.589,0.482397,37.5396
27.9688,0.478951,40.158
23.2436,0.596024,34.758
25.9853,0.473594,34.754
30.7854,0.460142,37.914
24.3578,0.511415,35.7805
27.7412,0.500847,29.1595
28.6681,0.478657,40.0284
24.9148,0.541527,37.188
29.9482,0.454225,34.9564
20.2269,0.700251,31.9571
22.6186,0.613825,39.6289
25.9853,0.473594,34.754
28.3395,0.517673,39.2745
23.2321,0.5051,30.5482
24.9148,0.541527,37.188
26.5932,0.534245,45.9495
27.1065,0.38903,34.3813
28.3635,0.505767,39.3848
23.0926,0.491606,44.9662
20.2269,0.700251,31.9571
34.4504,0.358931,35.9231
22.8412,0.486934,41.4953
22.6186,0.613825,39.6289
20.2269,0.700251,31.9571
