g_mean,d_mean,P0_mean
27.6763,0.454608,33.3303
29.8018,0.409985,33.8094
23.2436,0.596024,34.758
28.3395,0.517673,39.2745
24.3578,0.511415,35.7805
29.1986,0.483061,34.8933
37.0938,0.409236,39.3333
38.2092,0.385398,29.1784
28.3395,0.517673,39.2745
32.6356,0.378525,28.1777
24.7179,0.506438,35.207
67.4572,0.47655,34.8615
29.589,0.482397,37.5396
22.948,0.441956,21.6943
33.9415,0.48994,40.1337
33.9415,0.48994,40.1337
24.3578,0.511415,35.7805
29.589,0.482397,37.5396
29.9482,0.45422499999999993,34.9564
19.155,0.659746,34.6674
23.2436,0.596024,34.758
24.3578,0.511415,35.7805
20.2269,0.700251,31.9571
29.1986,0.483061,34.8933
29.9482,0.454225,34.9564
27.7412,0.500847,29.1595
20.2269,0.700251,31.9571
29.1986,0.483061,34.8933
30.6287,0.472648,37.1622
30.6287,0.472648,37.1622
24.3578,0.511415,35.7805
29.8018,0.409985,33.8094
34.9332,0.402203,35.7463
27.1065,0.38903,34.3813
29.7394,0.39078,29.555200000000003
35.4776,0.468801,32.0843
30.4785,0.420125,28.5748
34.9332,0.402203,35.7463
29.1986,0.483061,34.8933
35.6655,0.356366,29.9289
29.589,0.482397,37.5396
29.1986,0.483061,34.8933
39.6226,0.396619,32.8338
23.2321,0.5051,30.5482
29.1986,0.483061,34.8933
29.1986,0.483061,34.8933
33.9415,0.48994,40.1337
24.3578,0.511415,35.7805
33.9415,0.48994,40.1337
27.6763,0.454608,33.3303
29.1986,0.483061,34.8933
23.2321,0.5051,30.5482
29.1986,0.483061,34.8933
27.764,0.541912,35.6715
32.6558,0.390643,27.8426
29.589,0.482397,37.5396
30.6287,0.472648,37.1622
29.1986,0.483061,34.8933
47.1648,0.423081,38.7106
27.7412,0.500847,29.1595
36.236,0.380193,29.8973
39.6226,0.396619,32.8338
24.7179,0.506438,35.207
47.7117,0.412029,34.2624
33.9415,0.48994,40.1337
35.6655,0.356366,29.9289
29.9482,0.454225,34.9564
27.4307,0.483663,31.913300000000003
47.1648,0.423081,38.7106
23.2321,0.5051,30.5482
34.9332,0.402203,35.7463
33.9415,0.48994,40.1337
23.2436,0.596024,34.758
35.4776,0.468801,32.0843
47.16479999999999,0.423081,38.7106
27.4307,0.483663,31.913300000000003
25.9853,0.473594,34.754
33.9415,0.48994,40.1337
34.9332,0.402203,35.7463
47.1648,0.423081,38.7106
29.2777,0.421749,26.4794
30.6287,0.472648,37.1622
47.7117,0.412029,34.2624
23.6363,0.512292,28.014
24.3578,0.511415,35.7805
28.2822,0.55769,33.4156
23.6363,0.512292,28.014
29.9482,0.454225,34.9564
34.9332,0.402203,35.7463
50.333,0.401345,29.3385
67.4572,0.47655,34.8615
28.3395,0.517673,39.2745
34.9332,0.402203,35.7463
19.155,0.659746,34.6674
27.1065,0.38903,34.3813
28.2822,0.55769,33.4156
67.4572,0.47655,34.8615
27.7412,0.500847,29.1595
23.2321,0.5051,30.5482
27.1065,0.38903,34.3813
29.9482,0.454225,34.9564
29.7394,0.39078,29.5552
35.4776,0.468801,32.0843
50.333,0.401345,29.3385
24.7179,0.506438,35.207
29.1986,0.483061,34.8933
29.589,0.482397,37.5396
30.6287,0.472648,37.1622
33.9415,0.48994,40.1337
29.1986,0.483061,34.8933
29.1986,0.483061,34.8933
24.3578,0.511415,35.7805
29.1986,0.483061,34.8933
34.9332,0.402203,35.7463
29.589,0.482397,37.5396
30.6287,0.472648,37.1622
19.155,0.659746,34.6674
47.7117,0.412029,34.2624
32.2722,0.400626,32.3511
23.2321,0.5051,30.5482
24.7179,0.506438,35.207
23.1878,0.60116,37.8686
33.9415,0.48994,40.1337
35.6655,0.356366,29.9289
27.4307,0.483663,31.9133
30.6287,0.472648,37.1622
30.4042,0.492602,41.6671
67.4572,0.47655,34.8615
33.9415,0.48994,40.1337
28.2822,0.55769,33.4156
39.6226,0.396619,32.8338
29.1986,0.483061,34.8933
24.7179,0.506438,35.207
29.1986,0.483061,34.8933
27.4307,0.483663,31.9133
29.9482,0.454225,34.9564
35.4776,0.468801,32.0843
36.236,0.380193,29.8973
29.1986,0.483061,34.8933
67.4572,0.47655,34.8615
34.9332,0.402203,35.7463
47.1648,0.423081,38.7106
24.3578,0.511415,35.7805
32.4298,0.349599,31.2928
42.4244,0.340414,23.5631
20.2269,0.700251,31.9571
29.1986,0.483061,34.8933
23.2321,0.5051,30.548199999999998
67.4572,0.47655,34.8615
44.3416,0.427828,33.6379
32.6558,0.390643,27.8426
29.1986,0.483061,34.8933
24.3578,0.511415,35.7805
29.1986,0.483061,34.8933
29.589,0.482397,37.5396
20.2269,0.700251,31.9571
29.9482,0.454225,34.9564
20.8686,0.49992,33.7416
29.589,0.482397,37.5396
29.589,0.482397,37.5396
28.3395,0.517673,39.2745
31.1484,0.41916,31.5983
67.4572,0.47655,34.8615
24.3578,0.511415,35.7805
41.3366,0.366322,37.9164
32.2722,0.400626,32.3511
28.3635,0.505767,39.3848
67.4572,0.47655,34.8615
23.2321,0.5051,30.5482
35.4776,0.468801,32.0843
28.3133,0.477388,41.6868
22.6772,0.615941,33.0298
29.1986,0.483061,34.8933
29.589,0.482397,37.5396
29.1986,0.483061,34.8933
29.9482,0.45422499999999993,34.9564
20.2269,0.700251,31.9571
23.6363,0.512292,28.014
23.2321,0.5051,30.548199999999998
28.3395,0.517673,39.2745
21.983,0.53159,28.0891
27.6763,0.45460800000000007,33.3303
33.9415,0.48994,40.1337
29.1986,0.483061,34.8933
30.6287,0.472648,37.1622
33.9415,0.48994,40.1337
23.1878,0.60116,37.8686
22.6772,0.615941,33.0298
47.1648,0.423081,38.7106
29.9482,0.454225,34.9564
36.7419,0.383005,32.8771
30.6287,0.472648,37.1622
34.9332,0.402203,35.7463
35.6655,0.356366,29.9289
29.589,0.482397,37.5396
29.1986,0.483061,34.8933
20.8686,0.49992,33.7416
28.3395,0.517673,39.2745
27.764,0.541912,35.6715
39.6506,0.314635,26.5409
28.2822,0.55769,33.4156
27.4307,0.483663,31.9133
20.2269,0.700251,31.9571
47.1648,0.423081,38.7106
27.764,0.541912,35.6715
19.155,0.659746,34.6674
47.1648,0.423081,38.7106
33.9415,0.48994,40.1337
30.6287,0.472648,37.1622
24.3578,0.511415,35.7805
67.4572,0.47655,34.8615
27.764,0.541912,35.6715
27.7412,0.500847,29.1595
29.1986,0.483061,34.8933
29.589,0.482397,37.5396
29.1986,0.483061,34.8933
23.2321,0.5051,30.548199999999998
48.7305,0.422474,28.4199
29.1986,0.483061,34.8933
29.1986,0.483061,34.8933
30.6287,0.472648,37.1622
29.9482,0.454225,34.9564
29.589,0.482397,37.5396
19.155,0.659746,34.6674
29.1986,0.483061,34.8933
27.6763,0.454608,33.3303
19.155,0.659746,34.6674
35.6655,0.356366,29.9289
32.4017,0.438757,36.6693
24.3578,0.511415,35.7805
29.1986,0.483061,34.8933
29.589,0.482397,37.5396
25.9853,0.473594,34.754
35.4776,0.468801,32.0843
47.7117,0.412029,34.2624
29.1986,0.483061,34.8933
20.2269,0.700251,31.9571
27.1065,0.38903,34.3813
32.4017,0.438757,36.6693
24.7179,0.506438,35.207
43.9392,0.40074499999999996,29.7754
67.4572,0.47655,34.8615
39.4975,0.306136,27.6994
19.155,0.659746,34.6674
35.4776,0.468801,32.0843
32.4017,0.438757,36.6693
27.4307,0.483663,31.9133
30.4042,0.492602,41.6671
39.6226,0.396619,32.8338
29.589,0.482397,37.5396
33.9415,0.48994,40.1337
29.589,0.482397,37.5396
19.155,0.659746,34.6674
50.4697,0.393015,28.7516
29.1986,0.483061,34.8933
27.6763,0.45460800000000007,33.3303
34.9332,0.402203,35.7463
42.4244,0.340414,23.5631
30.6287,0.472648,37.1622
23.6363,0.512292,28.014
29.589,0.482397,37.5396
29.589,0.482397,37.5396
19.155,0.659746,34.6674
67.4572,0.47655,34.8615
27.764,0.541912,35.6715
33.9415,0.48994,40.1337
33.9415,0.48994,40.1337
35.4776,0.468801,32.0843
45.5824,0.409293,33.9663
47.7117,0.412029,34.2624
28.2822,0.55769,33.4156
29.1986,0.483061,34.8933
27.4307,0.483663,31.9133
19.155,0.659746,34.6674
28.2822,0.55769,33.4156
41.3366,0.366322,37.9164
27.4307,0.483663,31.9133
42.4244,0.340414,23.5631
29.9482,0.454225,34.9564
19.155,0.659746,34.6674
19.155,0.659746,34.6674
23.6363,0.512292,28.014
34.9332,0.402203,35.7463
67.4572,0.47655,34.8615
30.4785,0.420125,28.5748
34.4608,0.442995,30.3809
30.6287,0.472648,37.1622
22.9982,0.563716,27.5039
29.589,0.482397,37.5396
29.1986,0.483061,34.8933
32.6356,0.378525,28.1777
29.1986,0.483061,34.8933
34.4608,0.442995,30.3809
33.9415,0.48994,40.1337
24.3578,0.511415,35.7805
24.3578,0.511415,35.7805
25.9853,0.473594,34.754
25.9853,0.473594,34.754
22.948,0.441956,21.6943
29.589,0.482397,37.5396
32.0489,0.433333,30.8075
29.6254,0.520171,48.4005
19.155,0.659746,34.6674
27.279,0.482293,30.9047
36.7419,0.383005,32.8771
28.3395,0.517673,39.2745
20.2269,0.700251,31.9571
37.6252,0.451903,26.0071
28.2822,0.55769,33.4156
41.1178,0.456898,34.4541
32.4017,0.438757,36.6693
22.947999999999997,0.441956,21.6943
28.2822,0.55769,33.4156
27.1065,0.38903,34.3813
27.6763,0.454608,33.3303
22.6772,0.615941,33.0298
20.2269,0.700251,31.9571
20.2269,0.700251,31.9571
24.3578,0.511415,35.7805
47.1648,0.423081,38.7106
32.6558,0.390643,27.8426
27.6763,0.454608,33.3303
39.6226,0.396619,32.8338
39.3263,0.390375,27.2226
28.3395,0.517673,39.2745
27.6763,0.454608,33.3303
67.4572,0.47655,34.8615
56.5091,0.462574,40.787
27.6763,0.454608,33.3303
29.1986,0.483061,34.8933
29.3545,0.47144,27.7344
29.7394,0.39078,29.5552
29.589,0.482397,37.5396
29.1986,0.483061,34.8933
47.7117,0.412029,34.2624
27.764,0.541912,35.6715
30.6287,0.472648,37.1622
35.4776,0.468801,32.0843
23.2321,0.5051,30.548199999999998
67.4572,0.47655,34.8615
30.6287,0.472648,37.1622
24.7179,0.506438,35.207
27.6763,0.454608,33.3303
44.3416,0.427828,33.6379
23.2321,0.5051,30.5482
47.7117,0.412029,34.2624
30.4042,0.492602,41.6671
32.6558,0.390643,27.8426
36.7419,0.383005,32.8771
67.4572,0.47655,34.8615
22.8008,0.548152,28.9255
27.279,0.482293,30.9047
22.947999999999997,0.441956,21.6943
48.7305,0.422474,28.4199
47.1648,0.423081,38.7106
33.3706,0.344561,27.1928
34.9332,0.402203,35.7463
29.1986,0.483061,34.8933
23.2321,0.5051,30.5482
22.948,0.441956,21.6943
32.6356,0.378525,28.1777
33.9415,0.48994,40.1337
36.236,0.380193,29.8973
34.4608,0.442995,30.3809
30.6287,0.472648,37.1622
19.155,0.659746,34.6674
27.1065,0.38903,34.3813
33.9415,0.48994,40.1337
67.4572,0.47655,34.8615
32.4017,0.438757,36.6693
23.6363,0.512292,28.014
29.589,0.482397,37.5396
33.9415,0.48994,40.1337
56.5091,0.462574,40.787
30.6287,0.472648,37.1622
29.1986,0.483061,34.8933
33.9415,0.48994,40.1337
27.1065,0.38903,34.3813
28.2822,0.55769,33.4156
24.3578,0.511415,35.7805
29.589,0.482397,37.5396
35.6655,0.356366,29.9289
34.4608,0.442995,30.3809
67.4572,0.47655,34.8615
35.4776,0.468801,32.0843
27.764,0.541912,35.6715
30.6287,0.472648,37.1622
29.9482,0.454225,34.9564
22.948,0.441956,21.6943
32.2722,0.400626,32.3511
23.2321,0.5051,30.5482
33.9415,0.48994,40.1337
19.155,0.659746,34.6674
29.1986,0.483061,34.8933
23.1878,0.60116,37.8686
20.8686,0.49992,33.7416
47.1648,0.423081,38.7106
34.9332,0.402203,35.7463
27.6763,0.454608,33.3303
20.2269,0.700251,31.9571
67.4572,0.47655,34.8615
27.1065,0.38903,34.3813
23.2321,0.5051,30.5482
19.155,0.659746,34.6674
23.6363,0.512292,28.014
45.5824,0.409293,33.9663
24.7179,0.506438,35.207
47.1648,0.423081,38.7106
47.1648,0.423081,38.7106
29.589,0.482397,37.5396
27.4307,0.483663,31.9133
19.155,0.659746,34.6674
32.2722,0.400626,32.3511
47.0262,0.442329,44.3844
33.9415,0.48994,40.1337
47.1648,0.423081,38.7106
21.1376,0.591978,32.8282
29.589,0.482397,37.5396
33.9415,0.48994,40.1337
37.0938,0.409236,39.3333
24.3578,0.511415,35.7805
19.155,0.659746,34.6674
19.155,0.659746,34.6674
22.948,0.441956,21.6943
36.236,0.380193,29.8973
50.333,0.401345,29.3385
27.279,0.482293,30.9047
67.4572,0.47655,34.8615
27.764,0.541912,35.6715
34.9332,0.402203,35.7463
27.1065,0.38903,34.3813
24.3578,0.511415,35.7805
27.4307,0.483663,31.9133
35.4776,0.468801,32.0843
29.1986,0.483061,34.8933
29.1986,0.483061,34.8933
33.9415,0.48994,40.1337
38.152,0.385972,50.7533
22.8008,0.548152,28.9255
33.9415,0.48994,40.1337
47.1648,0.423081,38.7106
24.7179,0.506438,35.207
22.9982,0.563716,27.5039
29.589,0.482397,37.5396
67.4572,0.47655,34.8615
29.1986,0.483061,34.8933
47.7117,0.412029,34.2624
29.1986,0.483061,34.8933
37.0938,0.409236,39.3333
29.1986,0.483061,34.8933
34.9332,0.402203,35.7463
29.589,0.482397,37.5396
24.3578,0.511415,35.7805
36.236,0.380193,29.8973
36.236,0.380193,29.8973
