g_mean,d_mean,P0_mean
29.2777,0.421749,26.4794
28.2822,0.55769,33.4156
26.3669,0.564441,28.9978
29.2777,0.421749,26.4794
29.7394,0.39078,29.5552
30.6287,0.472648,37.1622
35.2012,0.321892,22.9195
29.7394,0.39078000000000007,29.5552
32.2722,0.400626,32.3511
29.2777,0.421749,26.4794
27.4307,0.483663,31.9133
33.3706,0.344561,27.1928
31.687,0.434112,25.8852
28.2822,0.55769,33.4156
41.2476,0.35033,19.4882
29.3545,0.47144,27.7344
25.762,0.423862,26.4272
29.7394,0.39078,29.5552
32.6558,0.390643,27.8426
32.0489,0.433333,30.8075
31.687,0.434112,25.8852
34.4608,0.442995,30.3809
32.0489,0.433333,30.8075
31.3192,0.392268,24.4154
29.3545,0.47144,27.7344
31.687,0.434112,25.8852
31.1484,0.41916,31.5983
32.2722,0.40062600000000004,32.3511
29.2777,0.421749,26.4794
31.3192,0.392268,24.4154
31.9947,0.355392,25.181
32.6558,0.390643,27.8426
27.279,0.482293,30.9047
27.6763,0.454608,33.3303
32.2722,0.400626,32.3511
31.687,0.434112,25.8852
32.0489,0.433333,30.8075
32.0489,0.433333,30.8075
27.6763,0.454608,33.3303
27.279,0.482293,30.9047
31.687,0.434112,25.8852
23.2321,0.5051,30.5482
29.2777,0.421749,26.4794
27.4307,0.483663,31.9133
28.2822,0.55769,33.4156
22.948,0.441956,21.6943
31.687,0.434112,25.8852
22.6772,0.615941,33.0298
31.687,0.434112,25.8852
27.7412,0.500847,29.1595
33.3706,0.344561,27.1928
32.0489,0.433333,30.8075
32.6356,0.378525,28.1777
35.4776,0.468801,32.0843
30.0304,0.358556,26.4561
29.2777,0.421749,26.4794
24.7179,0.506438,35.207
31.687,0.434112,25.8852
29.7394,0.39078,29.5552
35.4776,0.468801,32.0843
32.0489,0.433333,30.8075
29.7394,0.39078,29.5552
32.6356,0.378525,28.1777
29.2777,0.421749,26.4794
34.5241,0.375695,19.1908
33.0252,0.418055,24.7589
28.2822,0.55769,33.4156
33.0252,0.418055,24.7589
32.2722,0.400626,32.3511
23.6363,0.512292,28.014
35.2012,0.321892,22.9195
26.0616,0.491724,26.0415
28.2822,0.55769,33.4156
23.6363,0.512292,28.014
35.2012,0.321892,22.9195
26.0616,0.491724,26.0415
24.9148,0.541527,37.188
27.6763,0.454608,33.3303
35.4776,0.468801,32.0843
27.7412,0.500847,29.1595
33.0252,0.418055,24.7589
25.9853,0.473594,34.754
32.6356,0.378525,28.1777
32.0489,0.433333,30.8075
32.6356,0.378525,28.1777
30.0304,0.358556,26.4561
32.6356,0.378525,28.1777
33.0252,0.418055,24.7589
22.948,0.441956,21.6943
31.3192,0.392268,24.4154
29.7394,0.39078,29.5552
29.2777,0.421749,26.4794
32.6558,0.390643,27.8426
32.6356,0.378525,28.1777
32.0489,0.433333,30.8075
33.0252,0.418055,24.7589
32.6356,0.378525,28.1777
29.2777,0.421749,26.4794
29.7394,0.39078,29.5552
32.6356,0.378525,28.1777
29.7394,0.39078,29.5552
31.7179,0.445551,25.9895
31.1484,0.41916,31.5983
31.6804,0.453581,22.0706
28.2822,0.55769,33.4156
20.8686,0.49992,33.7416
34.4608,0.442995,30.3809
33.0252,0.418055,24.7589
29.3545,0.47144,27.7344
26.0616,0.491724,26.0415
32.0489,0.433333,30.8075
31.1484,0.41916,31.5983
31.3192,0.392268,24.4154
35.2012,0.321892,22.9195
27.3119,0.516914,35.7023
27.6763,0.45460800000000007,33.3303
32.0489,0.433333,30.8075
31.6804,0.453581,22.0706
35.4776,0.468801,32.0843
32.6356,0.378525,28.1777
24.3578,0.511415,35.7805
34.4608,0.442995,30.3809
24.3578,0.511415,35.7805
26.3669,0.564441,28.9978
29.2777,0.421749,26.4794
32.6356,0.378525,28.1777
30.0304,0.35855599999999993,26.456100000000003
30.0304,0.358556,26.4561
24.7179,0.506438,35.207
31.3192,0.392268,24.4154
32.6558,0.390643,27.8426
29.7394,0.39078,29.5552
32.0489,0.433333,30.8075
32.0489,0.433333,30.8075
35.4776,0.468801,32.0843
31.687,0.434112,25.8852
32.6356,0.378525,28.1777
26.0616,0.491724,26.0415
29.7394,0.39078,29.5552
27.764,0.541912,35.6715
33.0252,0.418055,24.7589
32.6356,0.378525,28.1777
30.4042,0.492602,41.6671
31.687,0.434112,25.8852
29.2777,0.421749,26.4794
24.3578,0.511415,35.7805
31.7179,0.445551,25.9895
27.6763,0.454608,33.3303
30.0262,0.522361,22.4047
32.0489,0.433333,30.8075
24.3578,0.511415,35.7805
32.6356,0.378525,28.1777
35.2012,0.321892,22.9195
31.687,0.434112,25.8852
31.3192,0.392268,24.4154
20.2269,0.700251,31.9571
32.6356,0.378525,28.1777
32.0489,0.433333,30.8075
26.4758,0.313991,18.3895
32.0489,0.433333,30.8075
32.0489,0.433333,30.8075
26.0616,0.491724,26.0415
35.4776,0.468801,32.0843
31.3192,0.392268,24.4154
29.3545,0.47144,27.7344
32.0489,0.433333,30.8075
34.4608,0.442995,30.3809
32.0489,0.433333,30.8075
25.1285,0.49374,24.7838
32.0489,0.433333,30.8075
35.4776,0.468801,32.0843
25.762,0.423862,26.4272
27.6763,0.454608,33.3303
32.0489,0.433333,30.8075
29.3545,0.47144,27.7344
29.2777,0.421749,26.4794
29.2777,0.421749,26.4794
32.0489,0.433333,30.8075
28.2822,0.55769,33.4156
28.2822,0.55769,33.4156
29.7394,0.39078,29.5552
33.3706,0.344561,27.1928
35.4776,0.468801,32.0843
31.7179,0.445551,25.989500000000003
31.9947,0.355392,25.181
22.8008,0.548152,28.9255
19.155,0.659746,34.6674
31.9947,0.355392,25.181
25.1285,0.49374,24.7838
26.3669,0.564441,28.9978
23.6363,0.512292,28.014
31.4438,0.452361,17.0902
32.0489,0.433333,30.8075
25.762,0.423862,26.4272
28.2822,0.55769,33.4156
30.496,0.440935,17.156
27.6763,0.454608,33.3303
34.9332,0.402203,35.7463
31.9947,0.355392,25.181
32.6356,0.378525,28.1777
32.0489,0.433333,30.8075
31.3192,0.392268,24.4154
29.2777,0.421749,26.4794
