g_pop,1,0.668868,-0.0890192,-0.120066,0.0401563,0.0600695,-0.0116684,0.012332
d_pop,0.668868,1,-0.0748668,-0.0813515,0.011617,0.0495387,-0.013426,0.0153593
P0_pop,-0.0890192,-0.0748668,1,0.00733454,0.0139597,-0.133415,0.0227398,-0.0175551
omega_g,-0.120066,-0.0813515,0.00733454,1,-0.164324,-0.0293884,-0.0126919,-0.0139148
omega_d,0.0401563,0.011617,0.0139597,-0.164324,1,-0.0108316,-0.0244202,-0.0426826
omega_P0,0.0600695,0.0495387,-0.133415,-0.0293884,-0.0108316,1,-0.0673913,0.0470324
a,-0.0116684,-0.013426,0.0227398,-0.0126919,-0.0244202,-0.0673913,1,-0.919759
b,0.012332,0.0153593,-0.0175551,-0.0139148,-0.0426826,0.0470324,-0.919759,1
